is_gfp,library,plt96,row96,col96,strain,clone,genename,comment,biorep96
FALSE,P1T5 condensed,2,A,1,97,1,P1_gp093,pmgS,1
FALSE,P1T5 condensed,2,B,1,98,1,P1_gp106,pdcA,1
FALSE,P1T5 condensed,2,C,1,99,8,T5_GG_001,T5_001,1
FALSE,P1T5 condensed,2,D,1,100,1,T5_GG_016,T5_016,1
FALSE,P1T5 condensed,2,F,1,102,1,T5_GG_040,T5_040,1
FALSE,P1T5 condensed,2,G,1,103,1,T5_GG_055,T5_055,1
FALSE,P1T5 condensed,2,H,1,104,1,T5_GG_068,T5_068,1
FALSE,P1T5 condensed,2,A,2,105,1,P1_gp094,pap,1
FALSE,P1T5 condensed,2,B,2,106,1,P1_gp107,pdcB,1
FALSE,P1T5 condensed,2,C,2,107,1,T5_GG_002,T5_002,1
FALSE,P1T5 condensed,2,D,2,108,1,T5_GG_017,T5_017,1
FALSE,P1T5 condensed,2,E,2,109,1,T5_GG_029,T5_029,1
FALSE,P1T5 condensed,2,F,2,110,1,T5_GG_042,T5_042,1
FALSE,P1T5 condensed,2,H,2,112,1,T5_GG_069,T5_069,1
FALSE,P1T5 condensed,2,B,3,114,1,P1_gp108,lpa,1
FALSE,P1T5 condensed,2,C,3,115,1,T5_GG_003,T5_003,1
FALSE,P1T5 condensed,2,D,3,116,1,T5_GG_018,T5_018,1
FALSE,P1T5 condensed,2,E,3,117,1,T5_GG_030,T5_030,1
FALSE,P1T5 condensed,2,F,3,118,1,T5_GG_043,T5_043,1
FALSE,P1T5 condensed,2,G,3,119,1,T5_GG_056,T5_056,1
FALSE,P1T5 condensed,2,H,3,120,1,T5_GG_070,T5_070,1
FALSE,P1T5 condensed,2,A,4,121,1,P1_gp096,pmgU,1
FALSE,P1T5 condensed,2,B,4,122,1,P1_gp109,pacA,1
FALSE,P1T5 condensed,2,C,4,123,1,T5_GG_005,T5_005,1
FALSE,P1T5 condensed,2,D,4,124,1,T5_GG_019,T5_019,1
FALSE,P1T5 condensed,2,E,4,125,1,T5_GG_031,T5_031,1
FALSE,P1T5 condensed,2,F,4,126,1,T5_GG_044,T5_044,1
FALSE,P1T5 condensed,2,G,4,127,1,T5_GG_057,T5_057,1
FALSE,P1T5 condensed,2,H,4,128,1,T5_GG_071,T5_071,1
FALSE,P1T5 condensed,2,A,5,129,1,P1_gp097,pmgV,1
FALSE,P1T5 condensed,2,B,5,130,1,P1_gp110,pacB,1
FALSE,P1T5 condensed,2,C,5,131,1,T5_GG_006,T5_006,1
