library,strain,clone,genename,comment,row96,col96,plt96,biorep96
P1+T5 library,193,3,P1_gp001,gpSv.prime,A,1,3,1
P1+T5 library,194,3,P1_gp002,cra,B,1,3,1
P1+T5 library,195,3,P1_gp003,cre,C,1,3,1
P1+T5 library,196,3,P1_gp004,c8,D,1,3,1
P1+T5 library,197,3,P1_gp005,ref,E,1,3,1
P1+T5 library,198,1,P1_gp006,mat,F,1,3,1
P1+T5 library,199,3,P1_gp007,res,G,1,3,1
P1+T5 library,200,3,P1_gp008,mod,H,1,3,1
P1+T5 library,201,3,P1_gp009,lxc,A,2,3,1
P1+T5 library,202,3,P1_gp010,ulx,B,2,3,1
P1+T5 library,203,3,P1_gp011,darB,C,2,3,1
P1+T5 library,204,3,P1_gp012,prt,D,2,3,1
P1+T5 library,205,3,P1_gp013,pro,E,2,3,1
P1+T5 library,206,1,P1_gp014,lydD,F,2,3,1
P1+T5 library,207,3,P1_gp015,lyz,G,2,3,1
P1+T5 library,208,1,P1_gp016,ssb,H,2,3,1
P1+T5 library,209,3,P1_gp017,isaA,A,3,3,1
P1+T5 library,210,3,P1_gp018,insB,B,3,3,1
P1+T5 library,211,3,P1_gp019,insA,C,3,3,1
P1+T5 library,212,3,P1_gp020,isaB,D,3,3,1
P1+T5 library,213,3,P1_gp021,hxr,E,3,3,1
P1+T5 library,214,3,P1_gp022,ddrB,F,3,3,1
P1+T5 library,215,3,P1_gp023,ddrA,G,3,3,1
P1+T5 library,216,3,P1_gp024,darA,H,3,3,1
P1+T5 library,217,3,P1_gp025,hdf,A,4,3,1
P1+T5 library,218,1,P1_gp026,lydB,B,4,3,1
P1+T5 library,219,3,P1_gp027,lydA,C,4,3,1
P1+T5 library,220,3,P1_gp028,lydC,D,4,3,1
P1+T5 library,221,3,P1_gp029,cin,E,4,3,1
P1+T5 library,222,3,P1_gp030,gpU.prime,F,4,3,1
P1+T5 library,223,3,P1_gp031,gpU,G,4,3,1
P1+T5 library,224,3,P1_gp032,gpS,H,4,3,1
P1+T5 library,225,3,P1_gp033,gpR,A,5,3,1
P1+T5 library,226,3,P1_gp034,gp16,B,5,3,1
P1+T5 library,227,3,P1_gp035,bplA,C,5,3,1
P1+T5 library,228,3,P1_gp036,pmgA,D,5,3,1
P1+T5 library,229,6,gfp,gfp1,E,5,3,1
P1+T5 library,230,3,P1_gp038,pmgB,F,5,3,1
P1+T5 library,231,3,P1_gp039,tub,G,5,3,1
P1+T5 library,232,3,P1_gp040,pmgC,H,5,3,1
P1+T5 library,233,3,P1_gp041,simC,A,6,3,1
P1+T5 library,234,1,P1_gp042,simB,B,6,3,1
P1+T5 library,235,3,P1_gp043,simA,C,6,3,1
P1+T5 library,236,3,P1_gr044,c4,D,6,3,1
P1+T5 library,237,3,P1_gp045,icd,E,6,3,1
P1+T5 library,238,3,P1_gp046,ant1,F,6,3,1
P1+T5 library,239,1,P1_gp047,ant2,G,6,3,1
P1+T5 library,240,3,P1_gp048,ask,H,6,3,1
P1+T5 library,241,7,gfp,gfp2,A,7,3,1
P1+T5 library,242,3,P1_gp050,repL,B,7,3,1
P1+T5 library,243,3,P1_gp051,rlfA,C,7,3,1
P1+T5 library,244,3,P1_gp052,rlfB,D,7,3,1
P1+T5 library,245,3,P1_gp053,pmgF,E,7,3,1
