library,plt96,row96,col96,strain,clone,genename,comment,biorep96
P1T5 condensed,1,A,1,1,1,gfp,gfp,2
P1T5 condensed,1,B,1,2,1,P1_gp012,prt,2
P1T5 condensed,1,C,1,3,1,P1_gp023,ddrA,2
P1T5 condensed,1,D,1,4,1,P1_gp036,pmgA,2
P1T5 condensed,1,E,1,5,1,P1_gp048,ask,2
P1T5 condensed,1,F,1,6,1,P1_gp060,parA,2
P1T5 condensed,1,G,1,7,1,P1_gt071,trnT,2
P1T5 condensed,1,H,1,8,1,P1_gp082,gp7,2
P1T5 condensed,1,A,2,9,1,P1_gp001,gpSv.prime,2
P1T5 condensed,1,B,2,10,1,P1_gp013,pro,2
P1T5 condensed,1,C,2,11,1,P1_gp024,darA,2
P1T5 condensed,1,D,2,12,1,P1_gp038,pmgB,2
P1T5 condensed,1,E,2,13,1,P1_gp050,repL,2
P1T5 condensed,1,F,2,14,1,P1_gp061,repA,2
P1T5 condensed,1,G,2,15,1,gfp,gfp,2
P1T5 condensed,1,H,2,16,1,P1_gp083,gp25,2
P1T5 condensed,1,A,3,17,1,P1_gp002,cra,2
P1T5 condensed,1,B,3,18,1,P1_gp014,lydD,2
P1T5 condensed,1,C,3,19,2,P1_gp025,hdf,2
P1T5 condensed,1,D,3,20,1,gfp,gfp,2
P1T5 condensed,1,E,3,21,1,P1_gp051,rlfA,2
P1T5 condensed,1,F,3,22,1,P1_gp062,upfA,2
P1T5 condensed,1,G,3,23,1,P1_gp072,plp,2
P1T5 condensed,1,H,3,24,1,P1_gp084,gp26,2
P1T5 condensed,1,A,4,25,1,P1_gp003,cre,2
P1T5 condensed,1,B,4,26,1,P1_gp015,lyz,2
P1T5 condensed,1,C,4,27,1,P1_gp026,lydB,2
P1T5 condensed,1,D,4,28,1,P1_gp039,tub,2
P1T5 condensed,1,E,4,29,1,P1_gp052,rlfB,2
P1T5 condensed,1,F,4,30,1,P1_gp063,mlp,2
P1T5 condensed,1,G,4,31,1,P1_gp073,upl,2
P1T5 condensed,1,H,4,32,1,P1_gp085,pmgL,2
P1T5 condensed,1,A,5,33,1,P1_gp004,c8,2
P1T5 condensed,1,B,5,34,1,P1_gp016,ssb,2
P1T5 condensed,1,C,5,35,1,P1_gp028,lydC,2
P1T5 condensed,1,D,5,36,1,P1_gp040,pmgC,2
P1T5 condensed,1,E,5,37,1,P1_gp053,pmgF,2
P1T5 condensed,1,F,5,38,1,P1_gp064,ppfA,2
P1T5 condensed,1,G,5,39,3,P1_gp074,tciA,2
P1T5 condensed,1,H,5,40,1,P1_gp086,pmgM,2
P1T5 condensed,1,A,6,41,1,P1_gp005,ref,2
