library,strain,clone,genename,comment,row96,col96,plt96,biorep96
P1+T5 library,97,2,P1_gp001,gpSv.prime,A,1,2,2
P1+T5 library,98,2,P1_gp002,cra,B,1,2,2
P1+T5 library,99,2,P1_gp003,cre,C,1,2,2
P1+T5 library,100,2,P1_gp004,c8,D,1,2,2
P1+T5 library,101,2,P1_gp005,ref,E,1,2,2
P1+T5 library,102,2,P1_gp006,mat,F,1,2,2
P1+T5 library,103,2,P1_gp007,res,G,1,2,2
P1+T5 library,104,2,P1_gp008,mod,H,1,2,2
P1+T5 library,105,2,P1_gp009,lxc,A,2,2,2
P1+T5 library,106,2,P1_gp010,ulx,B,2,2,2
P1+T5 library,107,2,P1_gp011,darB,C,2,2,2
P1+T5 library,108,2,P1_gp012,prt,D,2,2,2
P1+T5 library,109,2,P1_gp013,pro,E,2,2,2
P1+T5 library,110,2,P1_gp014,lydD,F,2,2,2
P1+T5 library,111,2,P1_gp015,lyz,G,2,2,2
P1+T5 library,112,2,P1_gp016,ssb,H,2,2,2
P1+T5 library,113,2,P1_gp017,isaA,A,3,2,2
P1+T5 library,114,2,P1_gp018,insB,B,3,2,2
P1+T5 library,115,2,P1_gp019,insA,C,3,2,2
P1+T5 library,116,2,P1_gp020,isaB,D,3,2,2
P1+T5 library,117,2,P1_gp021,hxr,E,3,2,2
P1+T5 library,118,2,P1_gp022,ddrB,F,3,2,2
P1+T5 library,119,2,P1_gp023,ddrA,G,3,2,2
P1+T5 library,120,2,P1_gp024,darA,H,3,2,2
P1+T5 library,121,2,P1_gp025,hdf,A,4,2,2
P1+T5 library,122,2,P1_gp026,lydB,B,4,2,2
P1+T5 library,123,2,P1_gp027,lydA,C,4,2,2
P1+T5 library,124,2,P1_gp028,lydC,D,4,2,2
P1+T5 library,125,2,P1_gp029,cin,E,4,2,2
P1+T5 library,126,2,P1_gp030,gpU.prime,F,4,2,2
P1+T5 library,127,2,P1_gp031,gpU,G,4,2,2
P1+T5 library,128,2,P1_gp032,gpS,H,4,2,2
P1+T5 library,129,2,P1_gp033,gpR,A,5,2,2
P1+T5 library,130,2,P1_gp034,gp16,B,5,2,2
P1+T5 library,131,2,P1_gp035,bplA,C,5,2,2
P1+T5 library,132,2,P1_gp036,pmgA,D,5,2,2
P1+T5 library,133,3,gfp,gfp1,E,5,2,2
P1+T5 library,134,2,P1_gp038,pmgB,F,5,2,2
P1+T5 library,135,2,P1_gp039,tub,G,5,2,2
P1+T5 library,136,2,P1_gp040,pmgC,H,5,2,2
P1+T5 library,137,2,P1_gp041,simC,A,6,2,2
P1+T5 library,138,2,P1_gp042,simB,B,6,2,2
P1+T5 library,139,2,P1_gp043,simA,C,6,2,2
P1+T5 library,140,2,P1_gr044,c4,D,6,2,2
P1+T5 library,141,2,P1_gp045,icd,E,6,2,2
P1+T5 library,142,2,P1_gp046,ant1,F,6,2,2
P1+T5 library,143,2,P1_gp047,ant2,G,6,2,2
P1+T5 library,144,2,P1_gp048,ask,H,6,2,2
P1+T5 library,145,4,gfp,gfp2,A,7,2,2
P1+T5 library,146,2,P1_gp050,repL,B,7,2,2
P1+T5 library,147,2,P1_gp051,rlfA,C,7,2,2
P1+T5 library,148,2,P1_gp052,rlfB,D,7,2,2
P1+T5 library,149,2,P1_gp053,pmgF,E,7,2,2
P1+T5 library,150,2,P1_gp054,bplB,F,7,2,2
P1+T5 library,151,2,P1_gp055,pmgG,G,7,2,2
P1+T5 library,152,2,P1_gp056,gp21,H,7,2,2
P1+T5 library,153,2,P1_gp057,gp22,A,8,2,2
P1+T5 library,154,2,P1_gp058,gp23,B,8,2,2
P1+T5 library,155,1,P1_gp059,parB,C,8,2,2
P1+T5 library,156,2,P1_gp060,parA,D,8,2,2
P1+T5 library,157,2,P1_gp061,repA,E,8,2,2
P1+T5 library,158,2,P1_gp062,upfA,F,8,2,2
P1+T5 library,159,2,P1_gp063,mlp,G,8,2,2
P1+T5 library,160,2,P1_gp064,ppfA,H,8,2,2
P1+T5 library,161,2,P1_gp065,upfB,A,9,2,2
P1+T5 library,162,2,P1_gp066,upfC,B,9,2,2
P1+T5 library,163,2,P1_gp067,uhr,C,9,2,2
P1+T5 library,164,2,P1_gp068,hrdC,D,9,2,2
P1+T5 library,165,5,gfp,gfp3,E,9,2,2
P1+T5 library,166,2,P1_gt070,trnA,F,9,2,2
P1+T5 library,167,2,P1_gt071,trnT,G,9,2,2
P1+T5 library,168,2,P1_gp072,plp,H,9,2,2
P1+T5 library,169,2,P1_gp073,upl,A,10,2,2
P1+T5 library,170,2,P1_gp074,tciA,B,10,2,2
P1+T5 library,171,2,P1_gp075,tciB,C,10,2,2
P1+T5 library,172,2,P1_gp076,tciC,D,10,2,2
P1+T5 library,173,2,P1_gp077,ban,E,10,2,2
P1+T5 library,174,1,P1_gp078,dbn,F,10,2,2
P1+T5 library,175,2,P1_gp079,gp5,G,10,2,2
P1+T5 library,176,2,P1_gp080,gp6,H,10,2,2
P1+T5 library,177,2,P1_gp081,gp24,A,11,2,2
P1+T5 library,178,2,P1_gp082,gp7,B,11,2,2
P1+T5 library,179,2,P1_gp083,gp25,C,11,2,2
P1+T5 library,180,2,P1_gp084,gp26,D,11,2,2
P1+T5 library,181,2,P1_gp085,pmgL,E,11,2,2
P1+T5 library,182,2,P1_gp086,pmgM,F,11,2,2
P1+T5 library,183,2,P1_gp087,pmgN,G,11,2,2
P1+T5 library,184,2,P1_gp088,pmgO,H,11,2,2
P1+T5 library,185,2,P1_gp089,pmgP,A,12,2,2
P1+T5 library,186,2,P1_gp090,ppp,B,12,2,2
P1+T5 library,187,2,P1_gp091,pmgQ,C,12,2,2
P1+T5 library,188,2,P1_gp092,pmgR,D,12,2,2
P1+T5 library,189,2,P1_gp093,pmgS,E,12,2,2
P1+T5 library,190,2,P1_gp094,pap,F,12,2,2
P1+T5 library,191,2,P1_gp095,pmgT,G,12,2,2
P1+T5 library,192,2,P1_gp096,pmgU,H,12,2,2
