library,strain,clone,genename,comment,row96,col96,plt96
P1+T5 library,289,1,P1_gp097,pmgV,A,1,4
P1+T5 library,290,1,P1_gp098,upfM,B,1,4
P1+T5 library,291,1,P1_gp099,upfN,C,1,4
P1+T5 library,292,1,P1_gp100,upfO,D,1,4
P1+T5 library,293,1,P1_gp101,hot,E,1,4
P1+T5 library,294,1,P1_gp102,lxr,F,1,4
P1+T5 library,295,1,P1_gp103,humD,G,1,4
P1+T5 library,296,1,P1_gp104,phd,H,1,4
P1+T5 library,297,1,P1_gp105,doc,A,2,4
P1+T5 library,298,1,P1_gp106,pdcA,B,2,4
P1+T5 library,299,1,P1_gp107,pdcB,C,2,4
P1+T5 library,300,1,P1_gp108,lpa,D,2,4
P1+T5 library,301,1,P1_gp109,pacA,E,2,4
P1+T5 library,302,1,P1_gp110,pacB,F,2,4
P1+T5 library,303,1,P1_gp111,c1.100,G,2,4
P1+T5 library,304,1,P1_gp112,coi,H,2,4
P1+T5 library,305,1,P1_gp113,imcB,A,3,4
P1+T5 library,306,1,P1_gp114,imcA,B,3,4
P1+T5 library,307,1,P1_gp115,lydE,C,3,4
P1+T5 library,308,1,P1_gp116,iddB,D,3,4
P1+T5 library,309,1,P1_gt117,trnI,E,3,4
P1+T5 library,310,8,gfp,gfp3,F,3,4
P1+T5 library,311,2,P1_gp097,pmgV,G,3,4
P1+T5 library,312,2,P1_gp098,upfM,H,3,4
P1+T5 library,313,2,P1_gp099,upfN,A,4,4
P1+T5 library,314,2,P1_gp100,upfO,B,4,4
P1+T5 library,315,2,P1_gp101,hot,C,4,4
P1+T5 library,316,2,P1_gp102,lxr,D,4,4
P1+T5 library,317,2,P1_gp103,humD,E,4,4
P1+T5 library,318,2,P1_gp104,phd,F,4,4
P1+T5 library,319,2,P1_gp105,doc,G,4,4
P1+T5 library,320,2,P1_gp106,pdcA,H,4,4
P1+T5 library,321,2,P1_gp107,pdcB,A,5,4
P1+T5 library,322,2,P1_gp108,lpa,B,5,4
P1+T5 library,323,2,P1_gp109,pacA,C,5,4
P1+T5 library,324,2,P1_gp110,pacB,D,5,4
P1+T5 library,325,2,P1_gp111,c1.100,E,5,4
P1+T5 library,326,2,P1_gp112,coi,F,5,4
P1+T5 library,327,2,P1_gp113,imcB,G,5,4
P1+T5 library,328,2,P1_gp114,imcA,H,5,4
P1+T5 library,329,2,P1_gp115,lydE,A,6,4
P1+T5 library,330,2,P1_gp116,iddB,B,6,4
P1+T5 library,331,2,P1_gt117,trnI,C,6,4
P1+T5 library,332,9,gfp,gfp3,D,6,4
P1+T5 library,333,3,P1_gp097,pmgV,E,6,4
