library,plt96,row96,col96,strain,clone,genename,comment
P1T5 condensed,3,A,1,193,1,T5_GG_080,T5_080
P1T5 condensed,3,B,1,194,1,gfp,gfp
P1T5 condensed,3,C,1,195,1,T5_GG_104,T5_104
P1T5 condensed,3,D,1,196,1,T5_GG_115,T5_115
P1T5 condensed,3,E,1,197,1,T5_GG_130,T5_130
P1T5 condensed,3,F,1,198,1,T5_GG_144,T5_144
P1T5 condensed,3,G,1,199,1,T5_GG_157,T5_157
P1T5 condensed,3,H,1,200,1,T5_GG_tRNA6,T5_tRNA06
P1T5 condensed,3,A,2,201,1,T5_Gibson_081,T5_081
P1T5 condensed,3,B,2,202,6,T5_GG_091,T5_091
P1T5 condensed,3,C,2,203,1,T5_GG_105,T5_105
P1T5 condensed,3,D,2,204,1,T5_GG_116,T5_116
P1T5 condensed,3,E,2,205,7,T5_GG_131,T5_131
P1T5 condensed,3,F,2,206,1,T5_GG_145,T5_145
P1T5 condensed,3,G,2,207,1,gfp,gfp
P1T5 condensed,3,H,2,208,1,T5_GG_tRNA7,T5_tRNA07
P1T5 condensed,3,A,3,209,1,T5_GG_082,T5_082
P1T5 condensed,3,B,3,210,1,T5_GG_092,T5_092
P1T5 condensed,3,C,3,211,1,T5_GG_106,T5_106
P1T5 condensed,3,D,3,212,1,T5_GG_117,T5_117
P1T5 condensed,3,E,3,213,1,T5_GG_132,T5_132
P1T5 condensed,3,F,3,214,1,T5_GG_146,T5_146
P1T5 condensed,3,G,3,215,1,T5_GG_158,T5_158
P1T5 condensed,3,H,3,216,1,T5_GG_tRNA8,T5_tRNA08
P1T5 condensed,3,A,4,217,1,T5_Gibson_083,T5_083
P1T5 condensed,3,B,4,218,1,T5_GG_093,T5_093
P1T5 condensed,3,C,4,219,1,T5_GG_107,T5_107
P1T5 condensed,3,D,4,220,1,T5_GG_118,T5_118
P1T5 condensed,3,E,4,221,1,T5_GG_134,T5_134
P1T5 condensed,3,F,4,222,8,T5_Gibson_147,T5_147
P1T5 condensed,3,G,4,223,1,T5_GG_159,T5_159
P1T5 condensed,3,H,4,224,1,T5_Gibson_tRNA9,T5_tRNA09
P1T5 condensed,3,A,5,225,1,T5_Gibson_084,T5_084
P1T5 condensed,3,B,5,226,1,T5_Gibson_094,T5_094
P1T5 condensed,3,C,5,227,1,T5_GG_108,T5_108
P1T5 condensed,3,D,5,228,1,T5_GG_119,T5_119
P1T5 condensed,3,E,5,229,1,T5_GG_135,T5_135
P1T5 condensed,3,F,5,230,1,T5_GG_148,T5_148
P1T5 condensed,3,G,5,231,1,T5_GG_160,T5_160
P1T5 condensed,3,H,5,232,1,T5_GG_tRNA10,T5_tRNA10
P1T5 condensed,3,A,6,233,1,T5_GG_085,T5_085
P1T5 condensed,3,B,6,234,1,T5_GG_096,T5_096
P1T5 condensed,3,C,6,235,1,gfp,gfp
P1T5 condensed,3,D,6,236,1,T5_GG_121,T5_121
P1T5 condensed,3,E,6,237,1,T5_GG_137,T5_137
P1T5 condensed,3,F,6,238,1,T5_Gibson_149,T5_149
P1T5 condensed,3,G,6,239,1,T5_GG_161,T5_161
P1T5 condensed,3,H,6,240,1,T5_GG_tRNA11,T5_tRNA11
P1T5 condensed,3,A,7,241,1,T5_GG_086,T5_086
P1T5 condensed,3,B,7,242,1,T5_GG_098,T5_098
P1T5 condensed,3,C,7,243,1,T5_GG_109,T5_109
P1T5 condensed,3,D,7,244,1,T5_GG_122,T5_122
P1T5 condensed,3,E,7,245,1,T5_GG_138,T5_138
P1T5 condensed,3,F,7,246,1,T5_Gibson_150,T5_150
P1T5 condensed,3,G,7,247,1,T5_GG_162,T5_162
P1T5 condensed,3,H,7,248,1,gfp,gfp
P1T5 condensed,3,A,8,249,9,T5_GG_087,T5_087
P1T5 condensed,3,B,8,250,1,T5_GG_099,T5_099
P1T5 condensed,3,C,8,251,1,T5_GG_110,T5_110
P1T5 condensed,3,D,8,252,1,T5_GG_123,T5_123
P1T5 condensed,3,E,8,253,1,T5_GG_139,T5_139
P1T5 condensed,3,F,8,254,1,T5_GG_151,T5_151
P1T5 condensed,3,G,8,255,1,T5_GG_tRNA1,T5_tRNA01
P1T5 condensed,3,H,8,256,1,T5_GG_tRNA12,T5_tRNA12
P1T5 condensed,3,A,9,257,1,T5_GG_088,T5_088
P1T5 condensed,3,B,9,258,1,T5_GG_100,T5_100
P1T5 condensed,3,C,9,259,1,T5_GG_111,T5_111
P1T5 condensed,3,D,9,260,1,T5_GG_125,T5_125
P1T5 condensed,3,E,9,261,1,gfp,gfp
P1T5 condensed,3,F,9,262,1,T5_GG_152,T5_152
P1T5 condensed,3,G,9,263,1,T5_GG_tRNA2,T5_tRNA02
P1T5 condensed,3,H,9,264,10,T5_GG_tRNA13,T5_tRNA13
P1T5 condensed,3,A,10,265,1,gfp,gfp
P1T5 condensed,3,B,10,266,11,T5_GG_101,T5_101
P1T5 condensed,3,C,10,267,1,T5_GG_112,T5_112
P1T5 condensed,3,D,10,268,1,T5_GG_126,T5_126
P1T5 condensed,3,E,10,269,1,T5_GG_140,T5_140
P1T5 condensed,3,F,10,270,1,T5_GG_153,T5_153
P1T5 condensed,3,G,10,271,1,T5_GG_tRNA3,T5_tRNA03
P1T5 condensed,3,H,10,272,1,T5_GG_tRNA14,T5_tRNA14
P1T5 condensed,3,A,11,273,1,T5_GG_089,T5_089
P1T5 condensed,3,B,11,274,1,T5_GG_102,T5_102
P1T5 condensed,3,C,11,275,1,T5_GG_113,T5_113
P1T5 condensed,3,D,11,276,1,T5_Gibson_127,T5_127
P1T5 condensed,3,E,11,277,1,T5_GG_142,T5_142
P1T5 condensed,3,F,11,278,1,T5_GG_156,T5_156
P1T5 condensed,3,G,11,279,1,T5_GG_tRNA4,T5_tRNA04
P1T5 condensed,3,H,11,280,1,T5_GG_tRNA15,T5_tRNA15
P1T5 condensed,3,A,12,281,1,T5_GG_090,T5_090
P1T5 condensed,3,B,12,282,1,T5_GG_103,T5_103
P1T5 condensed,3,C,12,283,12,T5_GG_114,T5_114
P1T5 condensed,3,D,12,284,1,T5_GG_128,T5_128
P1T5 condensed,3,E,12,285,1,T5_GG_143,T5_143
P1T5 condensed,3,F,12,286,1,gfp,gfp
P1T5 condensed,3,G,12,287,1,T5_GG_tRNA5,T5_tRNA05
P1T5 condensed,3,H,12,288,1,T5_GG_tRNA16,T5_tRNA16
