genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.100002658215182,0.792434368479903,-0.385404083856494,0.702491045836473,0.775062434869166,-7.93704286138729
P1_gp002,0.375284788278066,1.1517830254216,1.05210515717967,0.300640458173152,0.384071781493931,-7.45970411160524
P1_gp003,0.0919271465993381,-0.00957052576719871,0.394571519141107,0.695779664475962,0.774054876729508,-7.91569249541933
P1_gp004,-0.744257381813836,0.597790844437206,-2.66235584876855,0.0120445220813309,0.0255229158390106,-4.72338389319444
P1_gp005,-0.72184278177693,0.231989270811161,-3.86760292003642,0.000507974193914846,0.00171682417437043,-1.67866027388721
P1_gp006,-0.403479160603138,0.361647924625424,-2.57863794476622,0.014729266492674,0.0302516473349536,-4.88675481417473
P1_gp007,-0.235547120184951,0.308263363396899,-1.56218658840218,0.128091748672123,0.192137623008184,-6.79858544841042
P1_gp008,-0.481944341705284,0.657492422435184,-2.62221707034287,0.0132694580136617,0.0276115971264641,-4.80919430288046
P1_gp009,0.174622228627941,0.396860705879967,0.940183765368005,0.354174632433938,0.43578169059844,-7.56315411940545
P1_gp010,0.0717554176462502,0.64170649413064,0.327790032218433,0.74520787228908,0.808823178460099,-7.92987700643031
P1_gp011,1.62345980349944,-0.570601479863174,4.62847213836317,5.84420536689412e-05,0.000273754882975567,0.463432131816959
P1_gp012,-0.259355619154929,1.00794310492858,-0.737721294594027,0.466065539465994,0.545787276479914,-7.74602663817881
P1_gp013,-0.431485334354807,0.19006670794088,-3.37056117203341,0.00197391553271579,0.00537791272688893,-2.93091227800765
P1_gp014,-0.464319007414795,0.0242631845709715,-2.80667321357432,0.00845579171670927,0.019296550327875,-4.3521744214452
P1_gp015,-0.695543359498962,0.142242881015284,-4.94546819655184,2.33455066643356e-05,0.000122220593713286,1.36189353468385
P1_gp016,-0.579786573754569,0.0990991301112119,-4.30985693939711,0.000145837494423006,0.00058997895471125,-0.420335182758604
P1_gp017,-0.662008768271513,0.30686469587746,-4.07138695292461,0.000286907742160365,0.00104937489255914,-1.12775598971737
P1_gp018,-0.469441484644114,-0.0488034374293178,-3.42552122781281,0.0017038795291619,0.00473891494048152,-2.83540588954558
P1_gp019,-0.422553680576555,0.214900066402288,-4.03384171395403,0.000318919889004478,0.00115069743735399,-1.21028672488147
P1_gp020,-0.0929221171514821,-0.350572302255292,-0.466206012438457,0.64422972022324,0.719704331797511,-7.83885108307501
P1_gp021,0.169666680354857,0.237842403817466,0.960727673155017,0.343900809086114,0.42723270800564,-7.54701232722895
P1_gp022,0.786020811119951,-0.380709226826473,2.16327278886184,0.0381050701213748,0.0669345639632044,-5.74915712094428
P1_gp023,-0.303122531233648,0.722641739703877,-1.15125523899114,0.25816651184092,0.339558909662687,-7.34625837763869
P1_gp024,0.0722191338333441,0.0643682261912175,0.387677520467431,0.700824394545002,0.775062434869166,-7.91019394279295
P1_gp025,-0.377648617461455,0.198811514181067,-2.32091524781036,0.0268282693161832,0.0511653421958637,-5.44967070302001
P1_gp026,-0.936002101551306,0.140128746678302,-7.14649033079664,4.14794754194444e-08,4.43000797479666e-07,7.69716409416975
P1_gp028,1.10128014051197,-1.7862990968403,1.82226813549781,0.0777824198034295,0.126633573704364,-6.38987759322475
P1_gp029,-0.546928060636855,0.00818289689002928,-3.68031703962959,0.00085280979597792,0.00261724385662189,-2.16234299431024
P1_gp030,-0.697737646635218,-0.281892785576596,-3.84564252835891,0.000539988266132095,0.00176334249177787,-1.71028649917987
P1_gp031,0.440041638668516,-0.0792802102854619,5.03231877256278,1.81404669323279e-05,9.88470341006436e-05,1.60611743846014
P1_gp032,-0.269912648352227,-0.231939853392071,-2.81056117041557,0.00837461836362681,0.0192760612335203,-4.35148928269779
P1_gp033,-0.0747909410633604,0.0925867286675964,-0.596879247355248,0.55479261263057,0.633032596463086,-7.82018636230698
P1_gp034,0.102381728710661,-0.304450570371617,0.603815124103693,0.55022820598545,0.630519017159292,-7.79302173804464
P1_gp035,0.321379024597929,0.80128521754482,1.69730806885708,0.0993563661479917,0.157238062732114,-6.57657265317235
P1_gp036,-0.333167721087086,0.781190790907077,-1.52254300014288,0.137706048038399,0.204263971256959,-6.85723433164953
P1_gp038,-0.346697747678495,0.17379437719927,-2.89388103223184,0.00680110670047225,0.0162133525805901,-4.15332911537337
P1_gp039,-0.541835776946948,0.174655432199615,-3.39599373633398,0.00184420223220635,0.00507630923710406,-2.94568369692652
P1_gp040,-0.53963607645464,-0.157987412395085,-4.10156706673853,0.000263478459078678,0.00100498212248582,-1.02602638018952
P1_gp041,-0.662145017032804,0.111656005014631,-5.63951011919033,3.10129138321835e-06,2.07011199829825e-05,3.40300763538973
P1_gp042,-0.454810033123001,0.120682669583054,-3.47267402376935,0.00150087129808042,0.00426311315518588,-2.72713224057072
P1_gp043,-0.33897530891092,-0.135583153329552,-2.9237218518962,0.00630857433613397,0.0151746788085385,-4.07350637258835
P1_gp045,0.767309522524855,-1.51862636214183,1.06684146827346,0.294035401751785,0.377439674364071,-7.43182158182764
P1_gp046,0.267120042933266,-0.0291328808359507,1.69846535634752,0.0991356282644042,0.157238062732114,-6.57121014215156
P1_gp047,0.530331504936038,0.413595977077985,4.17331934996122,0.000215054271259117,0.000832166527915714,-0.848335645104127
P1_gp048,-0.183221867401911,0.62128497189649,-0.913730813378157,0.367699615978166,0.448291312630914,-7.57093972335962
P1_gp050,1.59259654057903,-2.38396554259482,2.61999796641472,0.0133404345667186,0.0276115971264641,-4.81121496263472
P1_gp051,-0.172123721496693,0.0219315006500849,-1.36928665095047,0.18045463969899,0.25358625684016,-7.0822164736519
P1_gp052,0.669878600031232,-0.445411926679463,4.36906491428283,0.000123143365835422,0.000513738729344652,-0.285790102680613
P1_gp053,-0.8696533612389,-0.35795827330708,-5.69976296692818,2.6032153031374e-06,1.78220124599406e-05,3.60194423592415
P1_gp054,-0.192088480020483,0.21077822741952,-1.23875627167337,0.224455914808646,0.30723427283895,-7.24745762322528
P1_gp055,-0.563348384230944,0.179786404521157,-4.54160605838462,7.50613212594314e-05,0.000328547094692921,0.178676398525138
P1_gp056,-0.318326010823202,0.34371368172833,-1.98331159462787,0.0559793416463654,0.0945980013897441,-6.05901815219375
P1_gp057,-0.0466155232847811,0.044685534587381,-0.369311149114517,0.714331189435709,0.78166568680055,-7.91133222037371
P1_gp058,0.042261841323104,0.0995481079399667,0.379703780517871,0.706676503339633,0.776471713546016,-7.93778655453693
P1_gp059,0.450542750089234,0.0796737952676189,3.19022493577008,0.00317920085032921,0.00824122938871746,-3.43876649418048
P1_gp060,-0.468220731323966,0.0397986093958817,-1.69642427145955,0.0995252157368064,0.157238062732114,-6.55981420705693
P1_gp061,0.0349743418528351,-0.120260888207415,0.21937573595209,0.827752280446086,0.870117554642145,-7.99933880870355
P1_gp062,-0.292886263017741,-0.307661449922901,-2.45590516237296,0.0196728948384447,0.0389086142360351,-5.13217026506298
P1_gp063,-0.236585078338516,-0.425304744258052,-1.1169953017379,0.272322518966396,0.356422120411901,-7.33773344584663
P1_gp064,-0.724238423482542,0.0571985280509411,-4.64910646627875,5.50640768082941e-05,0.000267311063778446,0.501804488114287
P1_gp065,-0.422161216170259,-0.111780699266434,-3.98496991813842,0.000365873010131805,0.00130250791606923,-1.37875504965594
P1_gp066,-0.379531537697861,0.0596151335516029,-4.55022307233667,7.32228349597232e-05,0.000325841615570768,0.235500943422156
P1_gp067,-0.156588248672872,0.300342933855038,-1.50046625871788,0.143307776781556,0.209088395632106,-6.80470272773637
P1_gp068,0.218586400391913,-0.696436998409413,1.29058236172773,0.206106231235374,0.285131418341165,-7.11187897406676
P1_gp069,0.358781481002674,0.0670220673760686,2.16452717102092,0.0380007370311526,0.0669345639632044,-5.77621174944267
P1_gp072,0.363471766614845,-0.375999844603835,3.47970038608564,0.0014726917307005,0.00422805045265629,-2.72291075554182
P1_gp073,-0.141776838724501,-0.448948862612512,-1.23267758801111,0.226685961607765,0.30723427283895,-7.22604524667784
P1_gp074,-0.259587825466289,-0.349569628760964,-1.79375165188985,0.0823186182310925,0.133206491319404,-6.40790420396468
P1_gp075,-0.0923908739564457,-0.27227952918692,-0.751398792546226,0.457909723031033,0.540981840926043,-7.7219843358229
P1_gp076,-0.227515873715229,-0.00854691361803507,-1.970169071725,0.0575341362500905,0.0966139269105293,-6.1041349213345
P1_gp077,1.66390085314824,-0.756418123060962,9.22653240112241,1.5813006988717e-10,3.24774835845187e-09,13.3702098333028
P1_gp078,-0.0105715286216016,0.0157909177670557,-0.106011010294017,0.916236145243865,0.937299045134529,-8.00418112277034
P1_gp079,0.0790444715035951,-0.0938438873662592,0.740546217826481,0.464374159513122,0.545787276479914,-7.71105772584056
P1_gp080,0.157741485210311,0.220360461523634,1.08690829005323,0.285206045993069,0.371463484293411,-7.41462136764646
P1_gp081,0.666258084440651,0.0957785574411194,4.26677147378078,0.000164895956931666,0.000657122694041116,-0.528506344815344
P1_gp082,1.39847483606067,0.192169586104382,5.9489359828522,1.26376130932295e-06,1.02249778663402e-05,4.25316953851792
P1_gp083,0.229222753985739,0.184205390377929,1.99394206592183,0.0547486627374192,0.093107598413318,-6.07627985560856
P1_gp084,0.39043305116472,-0.0657793709067983,2.78074142637918,0.00901632470074825,0.0202393895971939,-4.40473861681867
P1_gp085,0.6393203994799,-0.171632315052417,4.60823327551085,6.19545439052813e-05,0.000283899918317779,0.37880254395697
P1_gp086,-0.32290751080607,-0.0173625659332878,-1.60201582468494,0.118990116086065,0.18154491997131,-6.74704645589516
P1_gp087,-0.152113637763454,-0.0566586386435242,-0.93685821840768,0.355856624509158,0.435842746531859,-7.56376414499868
P1_gp088,-0.0232633162475298,0.0832422054616075,-0.106071994398622,0.916188145073609,0.937299045134529,-8.00487086731117
P1_gp089,0.379709657982919,0.244345820033528,1.65259977228545,0.108203290781649,0.168218555054844,-6.63198130238686
P1_gp090,-0.577898908445479,-0.287228814275746,-3.28275240088684,0.00249251780797831,0.0065245319091197,-3.17018994828225
P1_gp091,0.035327315206823,0.256661980943213,0.193618296426716,0.847699944913266,0.884124551921257,-7.95387169273572
