genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.19572591203038,0.252377994047224,3.97099004851409,0.000382124705236815,0.000975327819080634,-1.64696872606249
P1_gp002,1.09177244281902,0.566726258608114,17.9696977847339,3.10832028571551e-18,1.66605967314351e-16,31.2202929244573
P1_gp003,0.0848135139843491,-0.0183250294998139,1.13848045609602,0.263408911802859,0.310984970762847,-7.65819936526127
P1_gp004,-0.0179426908083356,0.0141769777275276,-0.336041834402701,0.739042554316598,0.770674725902133,-8.25177489034971
P1_gp005,0.0161566478278369,-0.0128360442972563,0.264148782945084,0.793366562161127,0.820935284398387,-8.26467663256655
P1_gp006,0.11212577444259,0.0703030638038971,2.31648935039376,0.027120983771454,0.0446840313223991,-5.73875559627966
P1_gp007,0.101079241924937,0.0511607173105641,1.63902716732532,0.111047140630732,0.149550923060484,-6.99043331457133
P1_gp008,0.0187921253551531,0.159215605781987,0.474101577725632,0.638660786142729,0.673862561756895,-8.1876811249084
P1_gp009,0.119370448222356,0.15851785628488,1.94133448177688,0.0611070376995988,0.0899817917774313,-6.4680296305705
P1_gp010,0.307121710728543,0.321795101998853,5.38265915484411,6.6104617489781e-06,2.56754166482048e-05,2.31111942328362
P1_gp011,0.737376922796107,-0.112003357321481,6.20779701247401,6.0666923163149e-07,3.38723654327582e-06,4.72472594498441
P1_gp012,0.163880876863277,0.224785887338221,3.58070841033905,0.00112342126228931,0.00258146428026702,-2.71798424357476
P1_gp013,-0.0495543401069425,-0.0511852029242647,-1.33106553051607,0.192615084198467,0.24296734574754,-7.42127039630657
P1_gp014,-0.0844897812962565,-0.0950981805794282,-1.99058983952896,0.0551628639403355,0.0842512440962787,-6.36850936487112
P1_gp015,-0.133833559261685,-0.0470484840348445,-1.73552186559912,0.0923131720516125,0.128853802655376,-6.83738911683518
P1_gp016,-0.124267986069175,-0.0371768727976642,-2.22960450389079,0.0329495917641112,0.0525624440046535,-5.92838378076656
P1_gp017,0.113398694859188,0.245444854248673,2.32514913184357,0.0265943640776373,0.0442688793342037,-5.71814813762975
P1_gp018,-0.207713225766136,-0.0778284154318096,-5.65901545671505,2.96277256408585e-06,1.32337174529168e-05,3.1265653551461
P1_gp019,-0.0555163153887902,0.00362102272522633,-1.18860583954365,0.24337959412852,0.295139055323273,-7.59598360962645
P1_gp020,0.0323501501158524,-Inf,0.599173071239279,0.553576903906486,0.600642146748738,-8.03012175910705
P1_gp021,0.132578049150611,0.0151347812559153,3.12898888361736,0.00373705705785844,0.00758735826898531,-3.91794700511843
P1_gp022,0.326728822120236,-0.0121684239858544,5.67151813906422,2.85723967631986e-06,1.29786480212495e-05,3.1822904277449
P1_gp023,0.202608945892443,0.144514285892201,2.18694809034121,0.0362034590340935,0.0570736883596298,-6.01483711009623
P1_gp024,0.00661772237556149,-0.00776049247273229,0.224965461462533,0.823442896352977,0.847241766240787,-8.21289832186954
P1_gp025,-0.11007067843327,-0.0868075818873069,-2.54233535265348,0.0160747727205761,0.0279742797994441,-5.27732895485052
P1_gp026,-0.213035507719203,-0.0791163804388359,-5.37612256847623,6.73721957918322e-06,2.57939263888729e-05,2.28777297127596
P1_gp028,0.205370467116834,-Inf,1.7922365416254,0.0843678765797137,0.121562316792276,-6.53708869133839
