genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.0929544857948014,0.927896239466701,0.36788147436195,0.715448240538307,0.759220736568463,-8.04284694794465
P1_gp002,4.24597791889681,2.45321719572819,12.9577073094516,4.3299037492104e-14,1.28934911643154e-12,21.6525316128069
P1_gp003,-0.0133637633318816,-0.0195357477395415,-0.0592486508909652,0.953132322833214,0.960298731275569,-8.12363176245571
P1_gp004,-0.39147799563939,0.118215093100589,-1.79730227887675,0.0819836182458341,0.116251903121077,-6.55304208944365
P1_gp005,-0.14255262126564,0.0288146986318924,-0.738433248252744,0.46577564174429,0.533452444390896,-7.83284319586993
P1_gp006,-0.0704241160381565,0.264988267033527,-0.374076207569847,0.710880480950378,0.759220736568463,-8.05398581153842
P1_gp007,-0.00685209710792892,0.191991615859987,-0.0338296571543813,0.97322871335365,0.976873764714525,-8.13429104681364
P1_gp008,-0.462851160117559,0.602325638319547,-3.62395820492974,0.00102052752266225,0.00215355414231089,-2.45003286457256
P1_gp009,-0.0860641031982005,0.58127574512532,-0.437343631790731,0.664877707951468,0.71745522805071,-8.0088613844167
P1_gp010,0.417219709489761,1.15162100807391,1.78361940362126,0.0842263758782286,0.118803519659817,-6.56179049088601
P1_gp011,2.09183173689352,-0.287105049884264,6.40898612740604,3.76054516225397e-07,1.57472828669385e-06,5.41042193484936
P1_gp012,0.0265163138464636,0.813852977189282,0.128133268114692,0.89886671738537,0.919451451371294,-8.10005227201035
P1_gp013,-0.37680377966751,-0.0978366348195629,-3.85154361176188,0.000547365254505466,0.00124316854413106,-1.85856243176834
P1_gp014,-0.433726672472318,-0.2098799375293,-3.14973027128656,0.00359229836598721,0.00660678457051057,-3.6712881959797
P1_gp015,-0.632198415697873,-0.0313591865979117,-2.69056382785896,0.0113625748045603,0.0187973459729762,-4.77467811974666
P1_gp016,-0.643093476875056,-0.0170063537212631,-4.00945377969157,0.000353252855111497,0.000852898785314245,-1.44422103668373
P1_gp017,-0.19595021173761,0.922487648045683,-1.41704268194893,0.166389487614515,0.216790167227998,-7.0825536206955
P1_gp018,-0.815118969759433,-0.132407452967678,-10.7069090192172,5.72875977714692e-12,9.88458756387274e-11,16.6971110310488
P1_gp019,-0.487227737251014,0.0804723074760494,-3.95364436718133,0.000412584340148777,0.000961500897042368,-1.58068762308563
P1_gp020,-0.282678785804948,-0.804260580939637,-1.63592762626764,0.111915000668119,0.153026633566611,-6.72204865455001
P1_gp021,0.151180471620299,0.0568916620902939,1.19327160186831,0.241767443246971,0.298588363088425,-7.41546791056882
P1_gp022,0.74654770093925,-0.034314294849017,3.87638144603896,0.000511076439083773,0.00117067081773035,-1.77906183800461
P1_gp023,0.371667963358358,0.537196292024567,1.00367920048841,0.323262290579766,0.386760240515077,-7.62600404770987
P1_gp024,-0.164119466729123,0.0444907645873689,-1.4026225437198,0.170612301643815,0.220889356717596,-7.10597631901253
P1_gp025,-0.492345602460809,-0.189895714957449,-4.08268312823809,0.000287933406586286,0.000707946357478207,-1.23643193532053
P1_gp026,-0.878350307317282,-0.121619670738173,-7.9100603337365,6.03653962903181e-09,4.2573490015277e-08,9.57952209532995
P1_gp028,0.329227919603301,-1.83727739118718,0.491705736455479,0.626372630082702,0.687983052713788,-7.999032456852
P1_gp029,-0.85130201192178,-0.0517843645555023,-6.02853579398908,1.10773403104509e-06,4.1813059200012e-06,4.3379798205279
P1_gp030,-0.803055893429451,-0.382158436864907,-4.38971172797362,0.000121231831440548,0.000318530694373205,-0.317505529741422
P1_gp031,1.14494356158903,0.516237946591307,6.77817933071064,1.33244643504902e-07,6.15682145850235e-07,6.4461288476412
P1_gp032,-0.468023788233999,-0.166407407537196,-3.39924979523978,0.00186654895945945,0.0037611663243243,-3.06778660221624
P1_gp033,-0.462493482288176,-0.0672515848169093,-4.84754664277436,3.28289779752901e-05,9.56322401888886e-05,0.905667283724492
