genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.293258112194984,1.05019198813033,1.05236761615334,0.30487306337689,0.400364011951611,-6.68720619815809
P1_gp002,0.266701747155996,1.16648776673222,0.829452091053184,0.416399078656044,0.514262456589032,-6.88657225675468
P1_gp003,0.483690855005736,0.239943079338721,1.31305973973177,0.203665912403529,0.279910074482799,-6.37201857921243
P1_gp004,-0.0948363790116439,0.677980890983274,-0.490066517505198,0.629288454644274,0.694030065204384,-7.12096464038491
P1_gp005,-0.152174697742866,0.243918683634663,-0.637600696944406,0.530788418399566,0.618110703668131,-7.03507076116284
P1_gp006,-0.362986692140398,0.0342664804618165,-1.31466350223831,0.203135839716376,0.279910074482799,-6.33396915286251
P1_gp007,-0.571432011467208,0.538873918863848,-2.96508764997841,0.00751448988851492,0.017378790228841,-3.39748470557681
P1_gp008,-0.860689296517752,0.10313657765995,-3.88765044107472,0.000880463887628991,0.00337091888406528,-1.28564684044552
P1_gp009,-0.636624490372553,0.416448427416947,-3.87330735927391,0.000910794070694635,0.00339017792980781,-1.3573250928802
P1_gp010,0.0485773390354829,0.143544512982296,0.245243937363497,0.808704915233966,0.843318744290672,-7.143098574244
P1_gp011,0.561680449494515,-1.76994340792795,2.2784861549871,0.0335307050671418,0.0632217016913783,-4.75240481159703
P1_gp012,-0.241464630719817,1.33944655839732,-0.963754656459651,0.346396175524798,0.442067500193552,-6.77652485158735
P1_gp013,-0.307085356735002,0.394435620240299,-1.87872109187746,0.0745722353858277,0.125694082285546,-5.52129170973994
P1_gp014,-0.403097877875782,0.0607446206272405,-2.18871628603929,0.0403425395146524,0.0735496638770534,-4.97630700624902
P1_gp015,-0.062957381056288,0.233968847530495,-0.77600585130791,0.446602894392109,0.541581790484548,-6.8824867488534
P1_gp016,-0.049193987059189,0.0411293993826081,-0.430455250275621,0.671354309723362,0.725495786313955,-7.10264304470016
P1_gp017,0.105183637068457,0.702282091644853,0.420111327148545,0.678772923886148,0.728737305050914,-7.15628754365366
P1_gp018,-0.488103273632713,7.79596785674561e-05,-4.60931433306603,0.000160005571347723,0.000752306896862979,0.361317729351618
P1_gp019,-0.230273322535461,0.126416721405126,-2.57614220532839,0.0178127042496636,0.0367215749146912,-4.21195052849817
P1_gp020,-0.109791856940163,-0.459929389027554,-0.642292169111539,0.527798831370221,0.617685968590477,-6.98806092835366
P1_gp021,0.069914098472588,-0.0684199259592441,0.752333828205675,0.460398814153436,0.555796766635679,-6.94561317874077
P1_gp022,0.490544289367543,-0.440215419385354,1.81622818308949,0.0839830334812844,0.133972934363001,-5.63399176134913
P1_gp023,0.353512089386146,0.931457578926432,0.939423977026929,0.358446694344296,0.455278265802233,-6.79965977477042
P1_gp024,-0.376724056893457,-0.0867693978525482,-5.35998716083679,2.78224358710344e-05,0.000207122578151034,2.16067927195934
P1_gp025,0.0278863543613826,0.103712000700263,0.329829635014769,0.744873885333402,0.79069666603809,-7.12902226062776
P1_gp026,-0.0858675779405727,0.215068253511618,-0.518713691508671,0.609512505891598,0.687898412140911,-7.11099143349042
P1_gp028,-0.142494552760358,-2.76351585819164,-0.106918698622821,0.915892485600329,0.929769644473061,-7.24450566857265
P1_gp029,-0.270985701129886,-0.0228623777149135,-1.69434981847447,0.105332076639308,0.156827758551858,-5.76381151984602
P1_gp030,-0.350307961264941,-0.586748651610255,-1.68370837184008,0.107399143794316,0.159021936667826,-5.7706568640076
P1_gp031,0.420709913051795,-0.230706672010426,3.06379680409872,0.00600524633797941,0.0144991533205269,-3.19218741947411
P1_gp032,-0.0736788355424716,-0.0956023617526882,-1.00714606140487,0.325600466846932,0.421550362874288,-6.71082827842435
P1_gp033,0.168467556702706,-0.0272772234167144,1.80776472449504,0.0853339056227301,0.134681259431316,-5.64856939823466
P1_gp034,0.234218894568377,-0.415241914574983,1.82891600202721,0.0819927398740576,0.132373821001491,-5.58194327586233
P1_gp035,0.52765486869338,0.277275421111895,3.88801419055659,0.00087970789164644,0.00337091888406528,-1.32085964163478
P1_gp036,-0.0900988935059907,0.93962966318379,-0.312001305226223,0.758189414228808,0.799979381942207,-7.1901605705333
P1_gp038,-0.43016879775765,0.341591295484229,-1.86716826473637,0.0762390038424249,0.126123784134382,-5.54199789829705
P1_gp039,-0.174744046028815,0.208270644436959,-1.00114880869423,0.328421697638583,0.423158725803559,-6.7145778198975
