genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.103878955774519,0.0683560647510278,1.58239183197046,0.123493053487918,0.266904341409372,-5.62690250615251
P1_gp002,0.114596545615551,0.113849287388912,1.70654171159984,0.0976926038118471,0.231695732934292,-5.42885537727735
P1_gp003,-0.0187804440244612,-Inf,-0.327130680757425,0.745864967148939,0.825999219817833,-6.75619184985142
P1_gp004,-0.0982400157072589,0.106831554355798,-2.14883168682721,0.0393944970941986,0.132313889561814,-4.64770783658253
P1_gp005,-0.142693182275247,0.079047712028173,-3.72069471023999,0.000770410517360956,0.00607264760743342,-0.995528217154328
P1_gp006,-0.137543264692021,0.108520317338821,-4.29391526520458,0.000154816168525395,0.00165962932659223,0.566978557782059
P1_gp007,-0.124565009807117,0.104877993966819,-4.5874360682803,6.69186337064105e-05,0.000854009230158,1.38246528179579
P1_gp008,-0.157246170591272,0.140248294151144,-4.73464722082697,4.38168466017783e-05,0.000587145744463829,1.77103529813201
P1_gp009,-0.197446370601501,0.111687661383938,-5.40744954275655,6.25396933600648e-06,0.000239437683149962,3.68853991296955
P1_gp010,-0.197230641803149,0.128240185959524,-4.56904646441117,7.05458772962139e-05,0.000859377050699333,1.31124019802235
P1_gp011,0.0474257389409225,-0.0376282641370131,1.10500984148804,0.277476664602645,0.432347361125052,-6.22260580698445
P1_gp012,0.105934169392487,0.110808734742519,2.06992015404427,0.0466950752015424,0.148979525643016,-4.79489098489387
P1_gp013,0.0873396887005935,-0.0938869001681386,3.20063670816591,0.00311249533747505,0.0193988081498445,-2.31957724926347
P1_gp014,0.0115098067917521,-0.12725213405934,0.459591368533357,0.648947796735368,0.770027016074977,-6.67008361676537
P1_gp015,-0.0452396974311377,-0.0343929504941121,-1.2049395935083,0.237150254290568,0.398412748077459,-6.12095842593364
P1_gp016,-0.0638856227642773,0.0340039810650581,-2.06263574985382,0.0474257365359343,0.149530557548593,-4.78759078601907
P1_gp017,-0.0520544939479759,0.135277813900617,-1.74480398615316,0.0907137387374214,0.22751987504453,-5.34992100003412
P1_gp018,-0.00853690687171154,-0.0157399729726636,-0.616180332911796,0.542177731085839,0.687274830194943,-6.60571950668913
P1_gp019,0.00969232245641847,0.0401239717902416,0.320959453387212,0.750348794244767,0.827545172253488,-6.78867997095384
P1_gp020,-0.0440966095078754,-0.0777856838306067,-1.63997390704093,0.110903706028852,0.247684943464436,-5.47707969494049
P1_gp021,-0.109481792984424,-0.0312935697927416,-5.20619807233053,1.12061863067929e-05,0.000300325793022049,3.12751918272902
P1_gp022,0.145096289219862,-0.606843923504425,1.05818859373811,0.297971233685616,0.453312602919964,-6.23274425278968
P1_gp023,0.0924881708747611,0.0694263163606611,1.15580561583529,0.256402747170559,0.418867871799024,-6.18589820587552
P1_gp024,0.0585556931201518,-0.104675577932803,1.37979443570078,0.177310707909543,0.342885954632887,-5.91213681082501
P1_gp025,0.0101648928023593,-0.0675685260912659,0.394710804469893,0.695701078802113,0.800205532699426,-6.75209595646891
P1_gp026,-0.0422748348895593,-0.0232105625865298,-1.76213824432564,0.0876930551506514,0.225978257503602,-5.33083948017478
P1_gp028,0.300858018755045,-0.435154276553309,3.39835451497487,0.0018459028397468,0.0123675490263036,-1.80202521727506
P1_gp029,-0.0407298000047572,0.0208056532197513,-1.15033111226163,0.258616422155629,0.418867871799024,-6.15888067388816
P1_gp030,0.0416022992803246,-0.0202719486748068,1.81209437102298,0.0794594797330226,0.215102429984344,-5.18661136725672
P1_gp031,0.032173991344699,0.0231649654984878,1.33670196951994,0.190840242539775,0.347799007228148,-5.9680580707613
P1_gp032,-0.00242664562947271,0.0180948791100024,-0.0954198402628879,0.924582348951277,0.945755990530314,-6.84380515871833
P1_gp033,0.000930631291780544,-0.00208765362983203,0.035695377644019,0.971749214693067,0.979055599765947,-6.84021952010314
P1_gp034,-0.0687300388083988,-0.0903683736766528,-1.92341959060155,0.0634533295652048,0.186873542016208,-5.07144919495224
P1_gp035,-0.0563047639769619,0.0561352616220778,-2.24467963927866,0.0319045921895747,0.115546360902784,-4.46248030070263
P1_gp036,0.0534301289105271,0.117519455966819,0.707690155947634,0.484311569381215,0.648902737711872,-6.60387461967593
P1_gp038,0.0502082162250675,-0.0532706791838544,1.49446930872295,0.144947261948187,0.294286865167531,-5.74254115097841
P1_gp039,-0.0239550186229043,-0.00123673550094083,-1.21732766364773,0.232469419980211,0.398412748077459,-6.11025185054757
P1_gp040,-0.0778485783780672,0.0771498321051745,-2.0819176731106,0.0455132872858886,0.146958566176122,-4.75922679027083
P1_gp041,-0.0356424312779422,0.0669910457519542,-1.68292893878481,0.102219803592532,0.236162994506885,-5.42618469897837
P1_gp042,0.0376927053793065,0.0631665805290052,1.66259739572016,0.106256821667454,0.241329052600657,-5.49034241062608
P1_gp043,0.00723515623382731,0.0465189124527114,0.441426895632918,0.661902091347729,0.771259828179093,-6.70078690629129
P1_gp045,0.300584361824935,-0.629150162809012,0.798787423785643,0.430361373937237,0.591471016488101,-6.53328528407814
P1_gp046,-0.0117169485861483,-0.105006349988804,-0.356753966426105,0.723641179551872,0.82176201745721,-6.75708693872902
P1_gp047,-0.0669911556734396,0.0113144173174437,-2.4481992772876,0.0200822482713515,0.0828006544111107,-4.05377267758514
P1_gp048,0.0527612989721826,0.0327675607319545,1.21080806789292,0.234924218815032,0.398412748077459,-6.11813206998555
P1_gp050,0.558284587274964,-0.644719428882063,4.74373748132302,4.26839273761204e-05,0.000587145744463829,1.80853364767867
P1_gp051,0.0330167297791025,-0.0562008013780035,1.26701921245025,0.214383388316111,0.374216599680598,-6.04993323122699
P1_gp052,-0.0113471490557621,-0.0459527632815241,-0.447924062448193,0.657256066066541,0.770027016074977,-6.7308614082925
P1_gp053,-0.0650910727454096,0.0161961253799924,-2.27188113396333,0.0300256404151508,0.110231118236444,-4.38612778373281
P1_gp054,0.0051884203564846,0.0593008942618721,0.232504792918436,0.817641413761349,0.876511595552166,-6.81442797879964
P1_gp055,0.0355874882721906,0.0882534429791441,1.66776278652461,0.105218831651861,0.241014075920503,-5.4838839270306
P1_gp056,-0.0227751548032359,0.0585524407329492,-1.48035983856761,0.148653949726458,0.297307899452917,-5.7522986529156
P1_gp057,0.00137944074517736,0.0494281416998809,0.0498480915907595,0.960556385173685,0.975110269797528,-6.81732002972027
P1_gp058,0.0257486936146137,0.0222938162052402,1.33421207965903,0.191645693732541,0.347799007228148,-5.96046761537577
P1_gp059,-0.0310735880724924,0.0878309300247,-1.55152336918772,0.130709482371162,0.278016994249773,-5.64186500823553
P1_gp060,0.0367047187564721,0.0480670395688854,0.703834364662409,0.486677053283904,0.648902737711872,-6.60043997841428
P1_gp061,0.066487939294381,-0.14132600168371,1.86891475120502,0.0709041119009761,0.197940645723558,-5.15720665814443
P1_gp062,0.0579950272130745,-0.0370511988161669,2.09979068051688,0.0438017169218601,0.143156830915348,-4.72899218826067
P1_gp063,-0.0157922027592124,0.00973129963311636,-0.622730334347429,0.53791864768827,0.686486655145031,-6.63707124195554
P1_gp064,-0.0418256354582944,0.0989139736330687,-1.36973883329616,0.180398953743422,0.342885954632887,-5.924270627709
P1_gp065,0.00797299633911978,0.0355776052704275,0.334853945767047,0.739942197351262,0.825003147280586,-6.78600915689942
P1_gp066,0.0408068733180379,0.075346547365015,2.27617436326989,0.0297383604156315,0.110231118236444,-4.39108911768586
P1_gp067,-0.0191940279176765,0.0703964936838251,-1.11986700841678,0.271188526914504,0.427520736547571,-6.2137747989846
P1_gp068,0.0992664363627828,-0.0490954548196813,3.62927144534693,0.000989547769352251,0.00716753519422711,-1.22002819457093
P1_gp069,0.0646483320728311,-0.082403112107793,3.09113793780178,0.00413574775199601,0.0246306755007763,-2.59164297907379
P1_gp072,-0.010720035803768,-0.0872177270002225,-0.333846862752599,0.740694827946881,0.825003147280586,-6.78011529828778
P1_gp073,-0.0421697593773709,-0.030894874112324,-1.07736615221267,0.289451974247123,0.443705119343697,-6.26470610402295
P1_gp074,-0.00371723545641775,0.0080388553169608,-0.128756722045592,0.898364053603172,0.922458108680651,-6.82027736313074
P1_gp075,0.0473634404248119,0.0278301641944381,1.78224254309937,0.0842965685203044,0.221485101602368,-5.25959935619929
P1_gp076,0.00563738488402503,0.0904448242268034,0.226754173386167,0.822071641285149,0.877749800256653,-6.82354567929492
P1_gp077,-0.0249636717020781,0.0153002765357844,-0.933187844779298,0.357780853378896,0.512755447623231,-6.3591211037072
P1_gp078,0.0464250708191995,0.0432075831788875,2.43202853217236,0.0208497417849124,0.0846625878538865,-4.05701790891887
P1_gp079,0.0147397066277645,0.035650659291231,0.528725420107314,0.600680725148048,0.728427304704421,-6.71665512169771
P1_gp080,0.0452740621696595,-0.013499342828926,2.02018907119483,0.0518868600979252,0.15801907393459,-4.84691922501814
P1_gp081,0.0399230602377741,0.116303433183908,1.72715468753966,0.0938789398279663,0.227959334485639,-5.38394464743682
P1_gp082,0.139071938782573,0.203660331663384,3.97886487949594,0.000376499591089807,0.00315318407537713,-0.278485953035497
P1_gp083,0.0663152006384974,-0.00802092632286598,1.52174616025293,0.137991970237624,0.284475754028333,-5.70692282535212
P1_gp084,0.0170877015239115,-0.0157513847957283,0.435565743008499,0.666105055120616,0.772797206806602,-6.7472165756208
P1_gp085,-0.0206823753702013,0.0358282251997324,-0.653995710847375,0.517833862031078,0.670432246494343,-6.61384408811603
