genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.106331034590892,0.0733735529245352,1.75154510860558,0.089605959408986,0.203511840013629,-5.31264960174298
P1_gp002,0.114743547573081,0.118866775562419,1.73738436093576,0.0921107005119443,0.206000405528882,-5.33070248228566
P1_gp003,-0.0182095562772675,-Inf,-0.33030389345897,0.743510149368014,0.821169579897545,-6.70138935791978
P1_gp004,-0.0964865861565552,0.111849042529305,-1.91217886608595,0.0650049146254293,0.178054063065905,-5.03792949488659
P1_gp005,-0.136762888054861,0.0840652002016804,-3.41836280038337,0.00176145288845378,0.0121043429257849,-1.74123487816884
P1_gp006,-0.140007992634652,0.113537805512329,-4.30543020848326,0.000151787036818045,0.00193709170796362,0.626465376133665
P1_gp007,-0.121440280464746,0.109895482140326,-4.10137107690345,0.00026999008880796,0.00299106940335689,0.0664810620170124
P1_gp008,-0.151612492450474,0.145265782324651,-4.89489249758838,2.81054152391823e-05,0.000502150085606724,2.24825745296211
P1_gp009,-0.200051098278516,0.116705149557446,-5.26792744495694,9.58151560568648e-06,0.000366835168903425,3.30769950542165
P1_gp010,-0.184125742274056,0.133257674133031,-5.52183089924484,4.60391532750051e-06,0.000246769861554028,4.02466144417665
P1_gp011,0.0481360399917569,-0.0326107759635057,1.0447044301171,0.304128042349507,0.447836897525648,-6.24010529708029
P1_gp012,0.106363031717307,0.115826222916027,2.11017033283117,0.0428991153242,0.145531176036527,-4.67312329977502
P1_gp013,0.0866434723477047,-0.0888694119946312,3.28148659754546,0.00253209269220559,0.0157814149188627,-2.08000702504785
P1_gp014,0.0105744951677079,-0.122234645885833,0.313378768051889,0.756063122859041,0.82704047724989,-6.71391490313048
P1_gp015,-0.0478772040397306,-0.0293754623206047,-1.2362393344578,0.225528574994856,0.368546695723301,-6.03275145893734
P1_gp016,-0.0601069232476284,0.0390214692385655,-2.11873525839802,0.0421145726128729,0.144701352054487,-4.62626064301734
P1_gp017,-0.0499355547577345,0.140295302074124,-1.58339019409901,0.123344073672198,0.250425846546583,-5.55253966184995
P1_gp018,-0.00828212531687435,-0.0107224847991562,-0.460217149407073,0.648528419139123,0.762305334777566,-6.66973362503296
P1_gp019,0.0135751374921682,0.045141459963749,0.440807736538967,0.662369333221235,0.775174590844066,-6.68765515878743
P1_gp020,-0.0433294231627661,-0.0727681956570993,-1.54853876344706,0.131503854822443,0.251735950660105,-5.56544576527422
P1_gp021,-0.108926898537486,-0.0262760816192342,-5.06685474435842,1.71199564078326e-05,0.00037014638605867,2.74815244964595
P1_gp022,0.149571230386103,-0.601826435330918,1.12739255398967,0.268109727736787,0.413326329098671,-6.10040812273463
P1_gp023,0.0931556899519866,0.0744438045341685,1.31470619048947,0.19812122306088,0.336053720128582,-5.94149129696714
P1_gp024,0.0550291189716112,-0.099658089759296,1.2557467852001,0.218462756701943,0.363652290659135,-6.024748952475
P1_gp025,0.0100700063160316,-0.0625510379177585,0.402860504815681,0.689777999924227,0.786640442466778,-6.68674995123732
P1_gp026,-0.0425082942805556,-0.0181930744130225,-1.66807836042225,0.105234109620401,0.223831280779901,-5.4270342104757
P1_gp028,0.310627539848339,-0.430136788379801,3.33915525931515,0.00217445911514929,0.0138751200680955,-1.91814342239299
P1_gp029,-0.0358921527237377,0.0258231413932587,-1.14833168265165,0.259496389452888,0.404331583566128,-6.10739007773519
P1_gp030,0.0493023979391631,-0.0152544605012994,1.94513746692,0.0607507154402377,0.1717868760295,-4.91366155351835
P1_gp031,0.0370256609211483,0.0281824536719952,1.46646779178046,0.152455341625799,0.283736330248016,-5.73486868446522
P1_gp032,-0.00234719648908015,0.0231123672835098,-0.0948904603833407,0.925004210969094,0.953465878998912,-6.78662076191503
P1_gp033,-0.00584672203885315,0.00292983454367536,-0.220542660307242,0.826874866162553,0.879374857664937,-6.7677766007237
P1_gp034,-0.070838470323166,-0.0853508855031454,-2.08817416483058,0.0449735641262761,0.146986770559049,-4.71912255770592
P1_gp035,-0.0570322961265435,0.0611527497955852,-1.73239223418822,0.093007645779831,0.206000405528882,-5.34145393441997
P1_gp036,0.0579734270863622,0.122536944140326,0.910648172916992,0.369411989167833,0.523822291518408,-6.38612081681391
P1_gp038,0.0448251921216869,-0.048253191010347,1.34236339560826,0.189094072834256,0.3290728020752,-5.90499861216845
