genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.0198407699777652,-Inf,0.406137824435292,0.692759879223418,0.790041053752664,-7.74989480331657
P1_gp002,0.0288709133680453,0.168011732201666,0.895844347418472,0.387200972180919,0.543297699185792,-7.51469974019666
P1_gp003,-0.174704683521956,-0.133779248418338,-2.12810285700075,0.053771924053716,0.134681080807438,-5.89107450926113
P1_gp004,-0.0325245832022507,-0.0262651681252883,-0.531305464168305,0.604486251609768,0.723224622461687,-7.8438348669466
P1_gp005,-0.0566872644556669,-0.0230003357907104,-0.584282156570113,0.569387637952077,0.703206852401644,-7.80885776723884
P1_gp006,-0.0575217230187359,0.0863460884640679,-1.15297646530236,0.270413639203194,0.428323315033995,-7.24692124468018
P1_gp007,0.00517455253827293,0.0685809813720414,0.0853116552629948,0.933359928956034,0.958392570728802,-7.96323101315466
P1_gp008,-0.0476621946275452,0.223301780825217,-1.29470922494874,0.218740971024099,0.366391126465365,-7.03936635391447
P1_gp009,-0.0516091010800006,0.149119283208924,-0.631756644737419,0.538886960496467,0.684463058829636,-7.78258188393178
P1_gp010,0.0473188741029697,0.308910375395945,0.517874960635288,0.613555309783391,0.728127805901322,-7.84022151495145
P1_gp011,0.452114499268143,-0.163050966131654,3.60298183908778,0.00338909039110413,0.0171372872606775,-3.17259930363183
P1_gp012,0.0151998183150253,0.0973018712648139,0.21868016600348,0.830416085564553,0.878737174767107,-7.84348150061316
P1_gp013,0.0127424975245441,0.00200038230121552,0.28091450070026,0.78335492566524,0.846148149861818,-7.95202884311135
P1_gp014,-0.102192450907258,-0.101026409866872,-2.03112299131679,0.063985331031588,0.149113641012744,-6.03942418625795
P1_gp015,-0.0967885766189543,-0.0763151930276382,-1.97916343515355,0.0701708836221502,0.155419808353192,-6.13289077388232
P1_gp016,-0.10178682463885,-0.0512345515157555,-2.05509367835794,0.0613052749365528,0.146694765026751,-6.023807463384
P1_gp017,-2.29366342655,-0.924409593212273,-27.5004899665687,1.36422445419701e-12,3.656121537248e-10,19.4426192780929
P1_gp018,-0.118020834941138,0.00167031372774869,-1.63577074339131,0.12671185901788,0.239146325470364,-6.68668127027535
P1_gp019,0.00231124309867459,0.0429076831615903,0.0462777703444378,0.963817333580126,0.974219316898938,-7.95700827796161
P1_gp020,0.0177123890923261,-0.322399895031615,0.0616799568546307,0.951789423158156,0.969884279111733,-7.99239798840896
P1_gp021,0.130438041465523,0.0481788111879527,2.39683896799892,0.0328967322476157,0.0899624922689899,-5.44448737371614
P1_gp022,0.435293021535842,0.0489971064550114,4.77470502923662,0.000400215582856553,0.00345992826469536,-0.993130672910794
P1_gp023,-0.0265044582874083,0.196645405262624,-0.265771793413275,0.794731965949026,0.848558433762306,-7.95646644215345
P1_gp024,-0.0123278639859343,-0.0833344566087841,-0.215510641298026,0.832832993995691,0.878737174767107,-7.96134310167052
P1_gp025,0.0118221373572276,-0.0541613013334797,0.260018089898286,0.799067901329882,0.849802371255588,-7.95808885275066
P1_gp026,-0.0678945875860707,-0.0569464384452699,-2.00197560352189,0.0673902248774387,0.15220968351926,-6.11924513617946
P1_gp028,0.0519095255260084,-1.14781448838681,0.35914783707315,0.72545629204232,0.813482369319422,-7.84242561487138
P1_gp029,-0.0957540427456223,0.027450001496955,-3.3242498264872,0.00573230711981936,0.0247783598082514,-3.66155394936109
P1_gp030,-0.0659371067157648,0.0616579606962329,-1.21657656827057,0.246156862313103,0.406366691412376,-7.22721715385663
