genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.290298932403279,0.283102054686783,-1.25574394845033,0.218465934973456,0.313095564560889,-6.8856107150859
P1_gp002,-0.157483240516147,0.865072661249612,-0.914820916899308,0.367252486122272,0.47092663292234,-7.28139633717838
P1_gp003,-0.454990160987156,-0.352689480022505,-1.7761287342406,0.0853964459687419,0.143938663645427,-6.21528012484245
P1_gp004,-0.225729214350108,0.0905657812081241,-1.37798159975516,0.177943114002574,0.266417623199385,-6.79985787582688
P1_gp005,-0.299988258399002,0.150733107264973,-1.05788996474181,0.29817047136972,0.393643775010271,-7.20410674713174
P1_gp006,-0.478438136598514,0.495535172855926,-3.70517216460716,0.000810984794773373,0.00285978848683242,-1.86758728831037
P1_gp007,-0.232864330678515,0.44740647223253,-1.26289111573978,0.215919297301294,0.312791198252685,-6.95032451876179
P1_gp008,-0.538228894264337,1.05043364989123,-3.35157252371224,0.00210445762237588,0.00640903003178109,-2.81141608531415
P1_gp009,-0.371081049953327,0.767368452156385,-1.83599202998642,0.0758369709038213,0.13197602728717,-6.11330542668586
P1_gp010,-0.180228295270476,1.4312565797368,-0.585450204973447,0.562426216317334,0.649699249883817,-7.59216983449399
P1_gp011,1.33165401628488,-0.286538498635962,4.08624431986185,0.000281796186467553,0.00109451272425078,-0.813836098037463
P1_gp012,-0.238386306570367,0.843203319183444,-1.16988214773859,0.25084524206402,0.341251395295215,-7.00706769661137
P1_gp013,-0.0701788170049817,0.195968729584426,-0.561756551047076,0.578266923496384,0.656675997868775,-7.61188167538009
P1_gp014,-0.375950010254294,-0.174276501093328,-2.62309813517064,0.0133256347494253,0.0318863402932678,-4.55256571239483
P1_gp015,-0.341291514084637,-0.111491598265412,-2.5350406771578,0.0164302548120356,0.037635113586543,-4.75896559870488
P1_gp016,-0.413633543402993,-0.043659055362193,-3.81499565882282,0.000599644192136553,0.00223200893739717,-1.59789526834011
P1_gp017,-4.51078270134103,-0.815909944900355,-19.3512015242039,5.10392894059374e-19,3.4196323901978e-17,33.3895822461294
P1_gp018,-0.50889087362986,0.172894918972611,-3.21256574048199,0.00303410881511717,0.0087434533596925,-3.17813225504301
P1_gp019,-0.189136070761268,0.33497755907205,-1.1964848386463,0.240457056314409,0.332177789135369,-7.04250727945655
P1_gp020,-0.0133246481943366,-0.470133846344982,-0.0634695936673402,0.949794595851165,0.964185423061031,-7.69898898782162
P1_gp021,0.354414889855517,0.358017092188846,2.73112075910544,0.0102604032037704,0.0259413967793441,-4.3113864300352
P1_gp022,1.41018944104893,0.393108575574825,5.51275616213145,4.7295473713172e-06,3.16879673878252e-05,3.17716825709412
P1_gp023,-0.395289168128598,0.886579658487341,-1.22970508161663,0.227935343055828,0.319825507533832,-7.0120226500263
P1_gp024,-0.216805770391395,-0.296173131638141,-1.46470773127951,0.152934629659942,0.232877731527639,-6.64079602377712
P1_gp025,-0.0860433880571931,-0.00635714869900309,-0.839887809261495,0.407316202310124,0.510096926257539,-7.4078089894414
P1_gp026,-0.287002899641367,-0.032585366433888,-4.20200345327857,0.000203448495577023,0.000851940575228784,-0.517668461516739
