genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.125950512180955,0.249122393901141,-1.80819525052817,0.0826146335090032,0.372957502922798,-5.34942374508064
P1_gp002,0.0455382595258559,0.236071379204321,1.65276135708363,0.110877278435834,0.433160567755991,-5.51946391708349
P1_gp003,0.0742866656043855,-0.00542227928278255,1.51418659684368,0.1425124167035,0.491248683460301,-5.7905451196389
P1_gp004,-0.0671091694178941,0.126366590530775,-1.55447062980329,0.132634011316212,0.470162796376303,-5.73698153348794
P1_gp005,-0.0503596742669053,0.0268595593398299,-1.08194204554852,0.289598209662309,0.701286303642929,-6.3305178804329
P1_gp006,-0.0875003403566478,0.107394419352414,-2.22092057323921,0.0356403482417659,0.254698098410668,-4.59571414300477
P1_gp007,-0.0155603977368964,0.0525280923712346,-0.392749580051678,0.697831286431466,0.928936155464675,-6.85616578919639
P1_gp008,-0.0194378689394789,0.180094125394292,-0.605069877169136,0.55058261708221,0.903342451042188,-6.74292231883075
P1_gp009,-0.0535753687240629,0.100051578406878,-1.90752872181658,0.0679962350056372,0.349524506257048,-5.10277629336186
P1_gp010,0.0106680441023618,0.0188041298773556,0.422644641959941,0.676165496631368,0.928936155464675,-6.79129202331595
P1_gp011,-0.00818443503912569,-0.441231565433825,-0.269576713086662,0.789697190968739,0.948112749920314,-6.85332700684998
P1_gp012,-0.0576873112220223,-0.00101170531299658,-1.80995279081023,0.0823341332793366,0.372957502922798,-5.30590562793107
P1_gp013,-0.0721453233745126,-0.0110256248300738,-2.5567114188062,0.0170162869251256,0.178063288180778,-3.92290325856714
P1_gp014,-0.0568155368174516,-0.135850730490277,-2.05928209392403,0.0500198214463001,0.299098115995223,-4.90713735146405
P1_gp015,-0.13017520988985,-0.0337737843137481,-4.36546665245288,0.000192752519366165,0.00627516535269847,0.336949744461526
P1_gp016,0.011093302007198,0.00545903279062036,0.234758684052584,0.81630702317798,0.950110023963803,-6.90943203452497
P1_gp017,-0.00946953549344842,0.0631278807664045,-0.254464753738108,0.801216722365636,0.950110023963803,-6.89742604106826
P1_gp018,-0.0325307342782187,-0.0229824935135813,-1.76347505151373,0.0900330622087802,0.376852674673894,-5.34295463659834
P1_gp019,-0.0579872363286308,-0.00654959850345241,-2.33171532536588,0.0280653622303013,0.216619191747642,-4.35165445770691
P1_gp020,-0.111346518818027,-0.327414347571381,-0.700597163689633,0.490020153490316,0.880833772838422,-6.68808124038061
P1_gp021,-0.0605620887051473,-0.0332586684007605,-1.78589825622063,0.0862450832617656,0.372957502922798,-5.36162078951454
P1_gp022,-0.0623417381643888,-Inf,-0.476278895387471,0.64121523392598,0.928936155464675,-6.47045368216164
P1_gp023,-0.0892013864312859,-0.0501564455230039,-2.11443550800656,0.0446164721058345,0.278140985681053,-4.80597630978544
P1_gp024,-0.0374740491991982,-0.0266433885765514,-1.57544553915391,0.127717397765702,0.461990093152478,-5.70335859111186
P1_gp025,0.0148307889479622,0.0142783481021923,0.596724515625799,0.556053871104773,0.903342451042188,-6.73493540726603
P1_gp026,0.00336455151166343,-0.0177599032767278,0.157636193288712,0.876009017159833,0.974462611473652,-6.86961416939674
P1_gp027,-0.0128767687322752,-0.0684795648896699,-0.72208445156679,0.476938912401107,0.879289321767253,-6.60066662311653
P1_gp028,0.274094870548822,-2.39661370466481,1.06253692579249,0.298142475939087,0.710209312602866,-6.3201781768171
P1_gp029,-0.0104200466014763,-Inf,-0.284778483178719,0.779250843005601,0.948112749920314,-6.65624522701024
P1_gp030,-0.033540711003885,-0.0337237668095499,-0.832299610079706,0.41311534535651,0.817856731009847,-6.57704354836552
P1_gp031,-0.0313533482786992,-0.111881341170091,-0.743296190336238,0.46422661569466,0.877538054184099,-6.6528930232304
P1_gp032,-0.00493832048784974,-0.00979811916058946,-0.140202479965465,0.889622815206962,0.974462611473652,-6.89938324285749
P1_gp033,0.0384365247235978,0.0434991721157428,1.41911174082821,0.168207422107656,0.541590930522451,-5.9132551133977
P1_gp034,0.0466106712608216,-0.032390021280003,1.72895283686824,0.0961421288881313,0.396755545974964,-5.45147750015505
P1_gp035,-0.00390550788315991,-0.0872684731665133,-0.161803312087895,0.872760550030389,0.974462611473652,-6.92554540905914
P1_gp036,0.0293359595203424,-0.00773423176372357,1.31292885233693,0.20112449611308,0.586726096410913,-6.0590649093575
P1_gp038,-0.0133697704116388,-0.0202976093622093,-0.309784583921378,0.759290726184151,0.948112749920314,-6.88192892338775
P1_gp039,-0.0187013502006713,-0.0708176377317713,-0.470947032902122,0.641759560935567,0.928936155464675,-6.82526776608982
P1_gp040,-0.0440604771429007,0.0215130540547759,-1.0902267843178,0.286004126932742,0.701286303642929,-6.33575163534323
P1_gp041,0.0658543042409136,0.0613197989624625,2.65050279342891,0.0137369273167597,0.154804603992715,-3.72989779235291
P1_gp042,-0.00838120206259438,-0.00290314067450728,-0.281853129203572,0.780374767244623,0.948112749920314,-6.88686907264125
P1_gp043,-0.0106375156441993,-0.096742103510091,-0.433161491795898,0.668609595764517,0.928936155464675,-6.83159290090487
P1_gp045,1.41146042368186,-Inf,5.05369865183551,0.00713953181256067,0.0988060855535445,-1.87178618262609
P1_gp046,-0.0310881730076214,-0.000470827487685837,-0.917277220823178,0.367756910801101,0.76966267760516,-6.49943724661648
P1_gp047,-0.00749051956337862,-0.0588430124579792,-0.222925137980794,0.8254040491622,0.950110023963803,-6.89623969795674
P1_gp048,0.00348457666546137,-0.0429691795634241,0.0910304789238235,0.928193393321659,0.978275770659159,-6.92185457355165
P1_gp050,0.31653909558742,-Inf,1.1984380316991,0.242439854041191,0.634239975304187,-6.14213558383187
P1_gp051,0.0314391906902752,-0.0451302372180912,0.958814685408553,0.34682823403918,0.746364563100155,-6.46393667384589
P1_gp052,-0.0191717024208845,-0.343167648809563,-0.128876499096201,0.8984859670912,0.974462611473652,-6.93047222107137
P1_gp053,-0.0308718084655295,0.0194555330068579,-1.57614002992869,0.127557211209141,0.461990093152478,-5.67407328407541
