genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.496872523143181,1.28621899772764,-2.20236210181322,0.037172319996103,0.231733824656557,-4.49436722480945
P1_gp002,0.225017726832036,1.23323886210817,1.48260782444281,0.150789654048513,0.541593973756716,-5.64962176532917
P1_gp003,0.307986148790184,0.224570776908037,1.4521941291942,0.158996717494958,0.553236424973365,-5.73045391598592
P1_gp004,-0.245905327239903,0.730418797177881,-1.75317038312508,0.0919409468470672,0.427598371844297,-5.25526236458939
P1_gp005,-0.187528469516516,0.324516206466332,-1.1734541465661,0.251773181396225,0.657113673705425,-6.06876556197789
P1_gp006,-0.354652316055517,0.657956182346896,-2.20383602925804,0.0370562540769263,0.231733824656557,-4.47123820106459
P1_gp007,-0.00807830535488108,0.42760948649349,-0.0507538821174094,0.959928672579106,0.991805096973011,-6.78031843735579
P1_gp008,-0.0569949195646591,0.958415219648339,-0.363588130942329,0.719250167528785,0.93662355149304,-6.71657084178163
P1_gp009,-0.116256789296629,0.637026668455125,-1.1742328813411,0.251466978197108,0.657113673705425,-6.01560445869561
P1_gp010,-0.0450850116112742,0.2946640857248,-0.298133107168638,0.768087842063386,0.947945545692644,-6.73240836802001
P1_gp011,-0.0423193273214997,-1.24384346404511,-0.473974670098979,0.63966892848282,0.915310459734016,-6.65156783807575
P1_gp012,-0.135174329999901,0.224814323597309,-1.0600439405299,0.299351255910589,0.693591772102207,-6.17734164560267
P1_gp013,-0.272909477986951,0.1746004039066,-2.26671910705445,0.0323995903105666,0.211709449265362,-4.36394689980094
P1_gp014,-0.169143104941955,-0.283764718061999,-1.63549983648963,0.114588841121793,0.447660405982473,-5.474411780137
P1_gp015,-0.441094401781725,0.0910654609323229,-4.40804976355685,0.000175916858296876,0.00644295493512307,0.569287476681727
P1_gp016,0.0547222195463799,0.251169320828762,0.374806903224307,0.710993730453826,0.93662355149304,-6.69772189079872
P1_gp017,0.00536109012071295,0.472961467032749,0.0471535405819412,0.962768948248625,0.991805096973011,-6.72827614752116
P1_gp018,-0.0949892958286768,0.131746518620898,-1.10397136984512,0.280214111716432,0.675185035939661,-6.11506809040466
