genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.099232569678292,0.182085597977565,0.624434405400973,0.544262845193081,0.934578626102616,-6.51465264854034
P1_gp002,0.518077499828244,-Inf,4.25313445339435,0.0149384127235628,0.155786304117155,-2.43108762685703
P1_gp003,0.257841102529861,0.0204041515159607,1.8205372531558,0.0941939414409303,0.423429687238415,-5.16639324364272
P1_gp004,-0.0401455985223475,-Inf,-0.36167720462625,0.725297438725905,0.992068111428532,-6.48839563258979
P1_gp005,-0.0384967581645127,0.236455387921575,-0.227030073588244,0.824297721061168,0.992068111428532,-6.69064403813633
P1_gp006,0.278403436389664,-Inf,1.02021363345805,0.33224006339056,0.776112788080349,-6.0997437846261
P1_gp007,0.21891140860309,-Inf,3.59715040557751,0.00737060722671576,0.117945675230608,-2.29769688627822
P1_gp008,-0.014910654554427,-Inf,-0.0843055484978144,0.934516983620201,0.992068111428532,-6.63408120736267
P1_gp009,-0.0653160899880285,0.0739897251349962,-0.563916238617686,0.583402040768371,0.940937207089696,-6.53741018764728
P1_gp010,-0.181590705602021,-Inf,-0.549832130577814,0.59365939363183,0.940937207089696,-6.48914566758051
P1_gp011,0.180719800367512,-0.425594667492757,0.796787388756861,0.441359390190727,0.864945919031492,-6.36134897057938
P1_gp012,0.134844304126299,-0.243395918575257,0.5348396755728,0.60272357559329,0.94115125172856,-6.54797952806771
P1_gp013,0.0777817375463432,-0.260667746738983,0.296133463705155,0.772290809848625,0.992068111428532,-6.6496648493682
P1_gp014,0.0595683978394461,-0.139219777264259,0.33794235464719,0.741360833397891,0.992068111428532,-6.64064470120376
P1_gp015,-0.0620093285727327,-Inf,-0.210560583344536,0.838651035307269,0.992068111428532,-6.50402865696208
P1_gp016,0.0302349305053256,-Inf,0.469447361483167,0.649057649801095,0.962054993613805,-6.45964474558457
P1_gp017,0.193784600881745,-0.225202821975597,1.03532658109247,0.321331078588096,0.768943907977023,-6.17494740048409
P1_gp018,-0.000925671558164719,-Inf,-0.0137682155125615,0.989362108591112,0.992761978380085,-6.4848571400024
P1_gp019,-0.0316404807820325,-0.315245639297487,-0.412021221029424,0.687732343560441,0.992068111428532,-6.53874358458175
P1_gp020,-0.0055061701963206,-Inf,-0.0182577218203602,0.985800951980826,0.992599579235867,-6.58918032255577
P1_gp021,0.0443999848336332,-0.13475344730154,0.302334061605918,0.767676167807126,0.992068111428532,-6.63135253057521
P1_gp022,-0.102401173107935,-Inf,-0.07222388805349,0.944864371417288,0.992068111428532,-6.38511737378868
P1_gp023,-0.326177548841624,-Inf,-0.775187753298449,0.454921926034476,0.880077219298029,-6.35364987494651
P1_gp024,0.161503587875661,-Inf,0.685192605620767,0.509161742870047,0.922676088332033,-6.38952325446427
P1_gp025,0.0546952891852005,0.0375519681034962,0.475550985395543,0.643102816470884,0.962054993613805,-6.60526322367439
P1_gp026,-0.0286890095250962,-Inf,-0.165091384308083,0.871931673592916,0.992068111428532,-6.60739444167313
P1_gp027,-0.0442431223580295,0.0142795610871839,-0.231074238876563,0.821227167782823,0.992068111428532,-6.68750834274482
P1_gp028,-0.0883013051216381,-2.59761621930346,-0.139523719541027,0.891396524646973,0.992068111428532,-6.6940330758205
P1_gp029,-0.120467591452543,-Inf,-1.5388078408944,0.163551353528896,0.579634989255557,-5.27918394120932
P1_gp030,0.217489628892684,-0.513190831112022,1.53603167904578,0.150979112401207,0.562722893212461,-5.47072072084096
P1_gp031,0.00770401685768788,0.0740401514151254,0.142245136476781,0.889293501366796,0.992068111428532,-6.60049490178323
P1_gp032,0.107458165433669,-0.111867273046295,0.619299036630861,0.547526057651372,0.934578626102616,-6.5203244053348
P1_gp033,0.261502669132408,0.00320048545593243,2.68629235523044,0.0201037386024205,0.183446614747087,-3.68344708331007
P1_gp034,-0.0168430977685337,-0.0787217864658815,-0.116990460404608,0.908841199693613,0.992068111428532,-6.6750330674156
P1_gp035,0.0386445955211384,-0.162279335780142,0.31167378208099,0.760742927411668,0.992068111428532,-6.66907243776173
P1_gp036,0.123966817110593,-Inf,0.957960585630161,0.361201734269244,0.806561369096594,-6.146138931552
P1_gp038,-0.0204632956713325,-0.0570318972538466,-0.136317400359242,0.893875373605918,0.992068111428532,-6.69763396682292
P1_gp039,-0.110302204360366,0.0720880226698798,-0.539675491938827,0.599487599265357,0.941131069814432,-6.57117876768259
P1_gp040,0.132804453054374,-0.00264572783626054,1.15353938477011,0.271588064855676,0.727557017778508,-6.03604128991881
P1_gp041,0.0444951957874648,0.135005568728779,0.492398524326575,0.631498755248398,0.958753540576592,-6.55637641501988
P1_gp042,-0.105800746066075,0.0414907981088218,-0.772413507376747,0.455108425047953,0.880077219298029,-6.34384707700956
P1_gp043,0.0284921091536806,-0.290654794358774,0.111670928949654,0.912967078113094,0.992068111428532,-6.71783289156862
P1_gp045,-1.37490566352516,-Inf,-4.14614764829213,0.00170341399848847,0.0382612990429717,-1.20157292579265
P1_gp046,0.131466437731821,-0.500247824412295,0.407636814015557,0.690860868669559,0.992068111428532,-6.60430808531223
P1_gp047,0.0191741881663087,-0.000370528735696573,0.16490641560461,0.871817384788582,0.992068111428532,-6.63611724087676
P1_gp048,0.148653021878729,-0.526942180690418,0.557981053826323,0.587319396273488,0.940937207089696,-6.47051876717823
P1_gp050,-0.250494892922077,-Inf,-1.50255589607355,0.185627364745396,0.608899475159022,-5.25403116940445
P1_gp051,-0.190747550316083,0.0839035419021126,-2.28089656902229,0.0420195407407101,0.291328829006285,-4.37666028502379
P1_gp052,-0.194001873659691,-0.323510447325674,-1.01803302539914,0.329143121659876,0.775078963908741,-6.18329013115904
P1_gp053,0.077500047862415,-0.287442562899181,0.442222151888609,0.666348989341159,0.977758316018182,-6.56959033068396
P1_gp054,0.0753030155407777,-0.251193013958413,0.638453892016975,0.535410314735089,0.934578626102616,-6.46100352593494
P1_gp055,0.207217739010361,-0.320375862203791,1.06323437000999,0.309014738937056,0.758254653526221,-6.11670930604166
P1_gp056,0.774005119219214,-0.283729728133485,4.65014133799436,0.000590400638649583,0.0191552207206309,-0.18369338219093
P1_gp057,0.0710951572234538,0.000503700031168943,0.676352971071132,0.511895638047224,0.922676088332033,-6.43207148379661
P1_gp058,-0.0219932589488489,-0.0452806812863725,-0.346939144504154,0.73476429459134,0.992068111428532,-6.63016275175032
P1_gp059,-0.101804192384881,-0.0982060492795592,-0.796856481437731,0.441320801620515,0.864945919031492,-6.33897616151395
P1_gp060,-0.046100726103159,0.0856963945211716,-0.424251877202137,0.679037149961303,0.991394238943502,-6.60231322054499
P1_gp061,-0.119789400090132,-0.0542377155464897,-1.02959602298065,0.323904454387582,0.768943907977023,-6.1551190969851
P1_gp062,0.00307282456432931,0.0483594028828848,0.0182943707182803,0.985710639242952,0.992599579235867,-6.69969028980947
P1_gp063,0.327018984069389,-0.719609494131404,1.87213190340667,0.0862485812444059,0.414761151472251,-4.99342914029473
P1_gp064,0.0396933519975057,-0.24206140797535,0.451286662617347,0.65998931726183,0.973317578992194,-6.52487869114743
P1_gp065,0.22966163880591,-0.241325207087314,2.01994016788593,0.0667621376647939,0.36101007774296,-4.76379918981207
P1_gp066,0.0270233759038376,-0.103773863174481,0.25363571354683,0.804155507486393,0.992068111428532,-6.61423689945359
P1_gp067,-0.189495866305085,0.197777864716753,-1.53085281727876,0.152243522478714,0.562722893212461,-5.57814291559929
P1_gp068,-0.0329042907327736,0.0265681339360804,-0.188888677566181,0.853399576183012,0.992068111428532,-6.70863465294192
