genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.202509985719495,0.623734932855453,0.675216166789536,0.512753177507541,0.951563267226417,-6.60641868797923
P1_gp002,0.149340251593237,-1.69509178586783,0.123614786746296,0.903733093971579,0.986164742411496,-6.87378232092249
P1_gp003,0.509668199488203,0.199675478961019,1.74822932478439,0.106769845759252,0.45453051538902,-5.43366350160599
P1_gp004,-0.163165109969086,-0.10532962379035,-0.248123410824429,0.808370185762942,0.986164742411496,-6.8087937053725
P1_gp005,-0.167886693268337,0.691639177818505,-0.560283234581426,0.585928262335823,0.986164742411496,-6.72004839786375
P1_gp006,0.368114981948104,-0.517100091656344,0.659850940172741,0.522215951975851,0.951563267226417,-6.61185395288982
P1_gp007,0.165029634797317,-0.646429308029335,0.153441441154527,0.88068306165288,0.986164742411496,-6.8776158089638
P1_gp008,-0.124722322401277,0.264996285134784,-0.33955211723413,0.740253105083011,0.986164742411496,-6.76143860663491
P1_gp009,-0.217384160263047,0.290980415567064,-0.860087742147225,0.407139417901881,0.917629611117316,-6.48634250734162
P1_gp010,-0.179197564682668,-0.503485932864342,-0.333698154883245,0.744553026620068,0.986164742411496,-6.79202029958391
P1_gp011,0.107151149964592,-0.547597874219482,0.363167765629742,0.723001273009977,0.986164742411496,-6.77880324653302
P1_gp012,0.213013380447991,-0.235253228170056,0.659730223315533,0.522290697427405,0.951563267226417,-6.62293730011876
P1_gp013,0.0669418043168628,-0.171837920190054,0.177056283888553,0.862513350688219,0.986164742411496,-6.8128884086429
P1_gp014,0.0522912318289126,-0.145569265637465,0.262202233849331,0.797756732030896,0.986164742411496,-6.79799433269549
P1_gp015,-0.228376148654671,-0.677057804365115,-0.160506347496147,0.875239208361789,0.986164742411496,-6.87642612114325
P1_gp016,-0.0191743677597424,-0.293597468020965,-0.201425920932754,0.843849076892002,0.986164742411496,-6.7407876764212
P1_gp017,0.306753001148558,-0.224463861569089,0.68560003896631,0.506415921441024,0.951563267226417,-6.63941025260075
P1_gp018,-0.224328326785902,-1.07278816262213,-0.232233318033283,0.820397179342573,0.986164742411496,-6.86133628681487
P1_gp019,-0.185653284450894,-0.4254206511087,-0.867150701180328,0.403414548472139,0.917629611117316,-6.43180903271701
