genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.246699416230796,-Inf,6.70408492048085,1.32041741688746e-06,2.39325656810853e-05,5.06061060536234
P1_gp002,1.1638785349012,-Inf,14.6189948869929,5.8484346162216e-11,4.24011509676066e-09,15.4596886763992
P1_gp003,0.160994372950738,-0.0128095337842202,3.58771362981968,0.00143269454989106,0.00611002087453542,-2.15069885962936
P1_gp004,-0.0232069376355024,0.169295411903331,-0.406357398057672,0.687974071085964,0.804485808931167,-7.45507999811756
P1_gp005,-0.0474225995513711,0.00204500225624676,-0.468341002835687,0.64364127819979,0.761861104807915,-7.44706985947172
P1_gp006,-0.00993441982681666,0.0635605056140624,-0.125698446744879,0.900986637092587,0.946431554010616,-7.55319874727168
P1_gp007,0.103173085464184,0.13239794750122,1.32205682431809,0.198244408334086,0.321178091714441,-6.67799034373342
P1_gp008,0.185796425374664,-Inf,3.09471192587311,0.00871532908947855,0.0255297518782705,-3.3746883756401
P1_gp009,0.356012511991804,-Inf,7.92890428092482,4.5827028695084e-07,1.02229525550572e-05,6.37773054818665
P1_gp010,0.0369617332970713,-Inf,0.620396426450106,0.543352465841475,0.673385534589862,-7.14067505161004
P1_gp011,0.142046838011568,-0.487851807338183,3.19152602072863,0.00382586997622121,0.0132083606321923,-3.09521254237671
P1_gp012,-0.0347417945449507,0.0632779122426412,-0.66312030445874,0.51338582304743,0.649730216501516,-7.30456464970795
P1_gp013,0.0142975390405473,-0.0166115583546526,0.388181696852177,0.701202107112087,0.812992993379762,-7.44038133310347
P1_gp014,-0.0188791677950022,-0.138563222607888,-0.570814640366715,0.573274645234146,0.707109579421608,-7.35506559632149
P1_gp015,-0.054942202754724,0.0222612097734632,-1.21171937518841,0.23706751719318,0.363754391460435,-6.80161244766498
P1_gp016,0.0557414578477254,0.010961300379182,0.750113030819607,0.460261985805282,0.601243134610504,-7.25771730841789
P1_gp017,0.431254349602917,-Inf,5.53571004449908,3.11636180527034e-05,0.000265807330449529,1.9821881884079
P1_gp018,0.181952387868877,-Inf,3.49752317399719,0.00217565691034678,0.00841254005334088,-2.43396378131747
P1_gp019,0.0744504636693538,-0.00450732028595926,1.69096847240781,0.103405791680193,0.191004328581249,-6.14444807345998
P1_gp020,0.181521771556994,-0.668528330149341,0.706965785890559,0.486194525736238,0.62665072206004,-7.24522193428146
P1_gp021,-0.0292623717756353,-0.0409372111330723,-0.905900265787589,0.373728094722765,0.5112318276868,-7.06826230277713
P1_gp022,0.474368482795388,-Inf,2.14642869363696,0.0612837889887147,0.129724808808228,-4.97289933869008
P1_gp023,-0.106973807254856,-0.0663858586791283,-2.13555728965958,0.0428043682673586,0.0962268743994882,-5.3799278224494
P1_gp024,-0.0271798150941832,-0.0141350264671014,-0.485334136282237,0.631710004964657,0.756540259069245,-7.40918756572757
P1_gp025,0.391022980199061,-Inf,5.93279144885689,7.24479388647493e-06,8.75412594615721e-05,3.28524199550481
P1_gp026,-0.0605214672926569,-0.0677234416024627,-1.59638042797852,0.123101116901749,0.220366196922884,-6.25117155945272
P1_gp027,-0.0447095052260391,-0.0799867319322685,-0.687058663060737,0.498436764946863,0.638508230765083,-7.28991374179257
P1_gp028,0.958605662700712,-1.4585381374295,3.03322270603292,0.00561460953032161,0.0178927116900359,-3.48508569963695
P1_gp029,0.000751111801921937,-Inf,0.018398199325444,0.985538728936268,0.988977738675652,-7.26531410891578
P1_gp030,0.00997260819533798,-0.00250240634966037,0.235291227037779,0.815919617113051,0.903117133445743,-7.50333401421573
P1_gp031,0.72336325407422,0.227285894914013,27.9808711729073,3.03585307767135e-20,8.80397392524691e-18,36.1822292962105
P1_gp032,-0.0430044175743624,-0.123665410206202,-0.640187875443032,0.527936106165818,0.657087857459602,-7.30980082110634
P1_gp033,0.198052758760287,-Inf,1.9095411378122,0.0734854437761058,0.144971283639937,-5.61524389361356
P1_gp034,-0.100342888528801,-0.105399546103398,-2.48300563097546,0.0201747581411289,0.0513217531660296,-4.67331359546068
P1_gp035,-0.222427080823358,-0.204244363347802,-5.01321386159438,3.70506638871946e-05,0.000306991215065327,1.47011173847492
P1_gp036,-0.0600355497359722,-0.0116842325851189,-2.02632722751558,0.0536424095813,0.1162323988456,-5.52587935295531
P1_gp038,-0.0122202962257482,0.0185335763351865,-0.378118669664152,0.708567748860426,0.812992993379762,-7.43501681675404
P1_gp039,-0.174010077623248,-0.0756701539116722,-4.08434539803228,0.000405561502464221,0.00230613403362008,-0.918192607002424
P1_gp040,-0.0834402977524082,-Inf,-1.47579782539594,0.153713217817058,0.263768243591402,-6.39292405415595
P1_gp041,0.246298367780919,-Inf,4.19860770367693,0.000413524560191084,0.00230619466260412,-0.79185697270353
P1_gp042,-0.182448733109134,-0.0932636031220337,-3.85610826922158,0.000726607735502536,0.00363303867751268,-1.48631719435263
P1_gp043,-0.0122085240459278,-0.0904774895548485,-0.242300693819379,0.810544744907808,0.900605272119786,-7.48376692017135
P1_gp046,0.00480866282382353,0.0332858967984217,0.129837417309036,0.897745052657515,0.946431554010616,-7.53554244132672
P1_gp047,-0.0737740835564047,-0.0429236188813689,-2.00936964785128,0.0555275016684407,0.119281299880354,-5.59487783083863
P1_gp048,-0.0869671251023593,-0.0594554380409361,-2.54437184715416,0.0175780711659345,0.0467673453038625,-4.52245917424991
P1_gp050,1.43711806767247,-Inf,3.0159194362206,0.0064116008990853,0.0195722553761551,-3.52129498972472
P1_gp051,-0.0818868261973624,-0.0826580543756665,-1.70102552787276,0.101477112780029,0.189860404556183,-6.10177939824172
P1_gp052,0.383928134271598,-0.0686068389965259,5.21824991116178,2.18806673536098e-05,0.000198293547892088,1.97402061168071
P1_gp053,0.106392960075198,0.114511125625892,2.5136757728622,0.0188354847306404,0.0492098249719433,-4.61061815110541
P1_gp054,0.123483858727342,0.0205006483430622,3.67689404553171,0.00114448444013028,0.00518594511934033,-1.94392846059743
P1_gp055,-0.11642493493818,0.00382065447370386,-3.05760930583923,0.00529449727793862,0.0170600467844689,-3.42087828084697
P1_gp056,-0.0127358864336319,0.0635413601642894,-0.305103889613851,0.762839402950489,0.860791544185376,-7.47157623251779
P1_gp057,0.280407726328219,-Inf,3.12011435765812,0.00523145155895697,0.0170463028325564,-3.30341031870105
P1_gp058,-0.0990645720049374,-0.0434538116455867,-2.42361370814724,0.0230220004699603,0.0575550011749006,-4.8080265552735
P1_gp059,-0.110699837847163,-0.117783401311674,-2.97980693109668,0.0063816875082829,0.0195722553761551,-3.59221326391766
P1_gp060,-0.0215186733216147,-0.0325679875780707,-0.507488836429229,0.61630671602318,0.744703948528009,-7.41155864405224
P1_gp061,0.034444624231246,0.00194553829350893,0.821468145198692,0.419226627577814,0.560256783398922,-7.20066349224457
P1_gp062,-0.00637847446768494,0.0325792542572441,-0.111373426441116,0.912218975350656,0.950012734758531,-7.53516030153564
P1_gp063,-0.0704872204200385,-0.0342834306600799,-1.1910022413438,0.244955624114253,0.371922151796509,-6.83913762646283
P1_gp064,-0.129265730939617,0.0820548709461269,-3.20841508817919,0.00367122719176915,0.0128271793447356,-3.04468527701715
P1_gp065,0.442968288126088,-Inf,3.41056477413956,0.00339221853283015,0.0121449799323548,-2.68722172624515
P1_gp066,0.0360793473169475,-Inf,1.14116683392277,0.266807785435944,0.402990925918874,-6.75474309890254
P1_gp067,-0.146002237630911,-0.0151056793587039,-2.99786812680147,0.0061117543198671,0.0192653125300159,-3.55251632510983
P1_gp068,0.0685241085882561,-0.054064193137255,1.04266152504143,0.307188175185632,0.445938915744682,-6.98930404067728
P1_gp069,0.0100480530159904,-0.00140742963155356,0.214086130596734,0.833066242622122,0.909491353540275,-7.24465951865936
P1_gp072,0.171904878868498,0.0136417218680665,4.90131448494312,4.94231558003729e-05,0.000367505517489953,1.25087009414804
P1_gp074,0.141636651006055,0.156145627870942,5.22762602600331,2.13609975663121e-05,0.000198293547892088,1.99616542343686
P1_gp075,0.0328161654958239,-0.0985549172757111,0.673966015822911,0.506582309166901,0.644337147624567,-7.30860851090041
P1_gp076,-0.0951540508853176,-0.0456662603579537,-2.2791324135392,0.0315587306306031,0.0755572594893618,-5.10458344603023
P1_gp077,0.462912248951431,-0.250284498965619,6.0606755142339,2.58767217695563e-06,3.96164164423556e-05,4.14488939539773
P1_gp078,0.0383812600307797,-0.00843301710877111,0.9296034097477,0.361559640778461,0.504097576085354,-7.10185816442327
P1_gp079,-0.00981006969494364,-0.104536886055913,-0.319780598189232,0.75181980204183,0.85167086950051,-7.46760882288141
P1_gp080,0.0385920173578875,-0.00966372245736754,0.738811243680515,0.466974223416286,0.604564842815727,-7.23907076485332
