genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.24867688738754,0.851981862680625,1.14975613540338,0.261746676194801,0.354703439703235,-6.66406337731014
P1_gp002,3.41881894907425,1.08452908110906,3.07869755206517,0.00520215125270138,0.0142323005970132,-3.26113110265741
P1_gp003,0.102684349888506,0.140159082597012,1.08407966104247,0.289265403680357,0.383045511722847,-6.80451952547283
P1_gp004,-0.342446214261767,0.571870369273599,-3.23590268967218,0.00356680688267817,0.0109076061230254,-2.91526139056547
P1_gp005,-0.321397733483438,0.192426290629826,-1.72219114329608,0.0980990302193467,0.1563116415583,-5.97952868652193
P1_gp006,-0.260286520878637,0.320089572907968,-2.14508217408919,0.0424402102008,0.0755071224431412,-5.2367169822065
P1_gp007,-0.0230900419340622,0.466217034932005,-0.158253413602028,0.875601569781253,0.8972595591398,-7.40167138449269
P1_gp008,0.365543171327528,-0.867688000254961,0.275910585962801,0.785015013572104,0.830855306335438,-7.39087797904167
P1_gp009,0.509036453281801,-0.0883828126312911,0.583910148075254,0.56481285981506,0.644486809759495,-7.25439622989481
P1_gp010,0.0588186718619566,-0.858344911146422,0.0767282096778259,0.939485631386158,0.946009837159673,-7.42668192198836
P1_gp011,0.222765358247572,-0.754466616890173,3.13451511772039,0.00455243386573043,0.0131154079529957,-3.14776339683217
P1_gp012,-0.330157355285588,0.315631892484269,-3.22694839387933,0.00364480097806409,0.0109076061230254,-2.92483199651515
P1_gp013,-0.173582241505687,0.131796011448817,-1.64506601037024,0.113193178308018,0.177437955185542,-6.08878097551934
P1_gp014,-0.168570388748701,-0.121186431403725,-2.35424269069829,0.0272208670647844,0.0546123999331667,-4.82164968220705
P1_gp015,-0.323587172146008,0.219662698043181,-3.34726879410888,0.00272209746479535,0.00886975578416462,-2.66553570120921
P1_gp016,-0.0450067811019845,0.190240732429526,-0.38990029573977,0.700101999390587,0.774922060394162,-7.32274322630934
P1_gp017,0.795433462296557,0.019998461378803,0.783767811028191,0.440961122046302,0.528957859275391,-7.11540236806621
P1_gp018,0.158279974532494,-0.23934036643862,1.31563551365458,0.200917093059804,0.287024418656863,-6.47585004617735
P1_gp019,-0.0133881564896386,0.152036099836638,-0.131601735257144,0.896413245331848,0.912139793495565,-7.41818814782728
P1_gp020,0.128740982912498,-0.681684889639408,0.333069570282887,0.742018478907544,0.800691508469085,-7.34718197628606
P1_gp021,-0.231511844295346,0.0843139087957582,-3.10802082986555,0.00485044643212587,0.013525283320351,-3.19239917589015
P1_gp022,0.470030143295894,-2.21954324154823,0.85143419700734,0.403073318106135,0.492645453423083,-7.04696328988525
P1_gp023,-0.415758354519073,0.0323656390085753,-5.971161094361,3.89297952713299e-06,4.90853940377638e-05,3.86334066723455
P1_gp024,-0.249102026674315,0.14518191836819,-3.28983845791052,0.00313007644686723,0.00997496889660985,-2.74995986641003
P1_gp025,0.624500321539701,0.400168133024732,1.81606754941327,0.0820679545744627,0.13837038852671,-5.76470506481783
P1_gp026,-0.33742941942334,0.0361933958705573,-3.52232753073513,0.00177249821454013,0.00634598126193381,-2.2443293955473
P1_gp027,-0.185544081851491,0.00665952997201033,-1.54484630202232,0.135669755176996,0.209277813836855,-6.21551294035483
P1_gp028,0.851494357890246,-1.65229314175773,3.89272619253871,0.000705934816772147,0.00319876713849879,-1.31762154313564
P1_gp029,0.0297262032187254,-0.846026345513535,0.0382020128826294,0.969847484849716,0.973203358499715,-7.42901164417449
P1_gp030,-0.22016116755716,0.161394952984396,-3.69704676625054,0.00115024169263211,0.0043890801429383,-1.77798587263359
P1_gp031,1.40843019836877,0.712061479385942,18.1773485184257,2.1544465637651e-15,6.2478950349188e-13,25.3210014924423
P1_gp032,-0.255643443072947,-0.0747191595636413,-1.75377648195719,0.0924302251808417,0.149747292192425,-5.91691089358096
P1_gp033,0.25624559803863,-0.375736197874853,0.244542431507317,0.808921416627878,0.853044402989399,-7.39933247721047
P1_gp034,-0.38001988372296,-0.0389500606087663,-4.66058108262401,0.000101932084615618,0.000703816774726889,0.57809435934955
P1_gp035,-0.584368620461111,-0.218857680819156,-6.5026009112342,1.0812526752479e-06,2.41202519862994e-05,5.13419305156931
P1_gp036,-0.297791692149816,0.148431013953904,-6.64728011580579,7.67183869884655e-07,2.02257565696864e-05,5.54506872683011
P1_gp038,-0.236547999369529,0.211763856297189,-3.12243186380715,0.0046860944963897,0.0131938582908059,-3.17065277174822
P1_gp039,-0.530668796855365,0.0303595343114959,-5.75164210172339,6.66592817241011e-06,7.73247667999572e-05,3.30926122410582
P1_gp040,-0.420899998586974,-0.117892241479894,-3.24382691509907,0.00349913326920614,0.0109076061230254,-2.85942747927166
P1_gp041,0.255311206402437,0.658892193567606,1.10105546656541,0.281960682241037,0.375085311238077,-6.74005119481621
P1_gp042,-0.531711928813948,-0.00190936319428954,-4.1488791210453,0.00037094916326969,0.00199213439533722,-0.70539750090746
P1_gp043,-0.257076988357827,-0.0205845121229361,-2.47483024276349,0.0209086156007402,0.0449148038830716,-4.59312344293678
P1_gp046,-0.180966490769113,0.241358394079741,-2.9701292258683,0.00672975603306108,0.0180706411998862,-3.49380476426978
P1_gp047,-0.388930476494609,0.0856133179494472,-5.17058553830689,2.82378716427196e-05,0.000259401103625643,1.85045893809365
P1_gp048,-0.301977661856442,0.0466308830546466,-5.20599625922363,2.58416814217451e-05,0.000249802920410203,1.98233338983164
P1_gp050,0.773891993779607,-2.24684085681964,4.07156635019687,0.000450641927959291,0.00230481618976627,-0.875978727600514
P1_gp051,-0.357418741150977,0.00112475213614771,-3.6105572296359,0.00142546550758508,0.00523272148354016,-2.02628405552749
P1_gp052,0.61440200575409,0.0277922651654253,4.99207087830061,4.42014428443416e-05,0.000346443741212407,1.44008576745401
P1_gp053,-0.0313305680102115,0.42079849933103,-0.410127708365,0.685406400366904,0.761562667074337,-7.31338081512458
P1_gp054,0.0278066979036562,0.19727029083958,0.362921555819778,0.719889227088028,0.7878033051152,-7.35089694312472
P1_gp055,-0.48490460513284,0.192648575264955,-6.77160384262626,5.72425254520746e-07,1.66003323811016e-05,5.78459671967281
P1_gp056,-0.271075875468226,0.312657270577009,-3.72258028472876,0.00107947945219914,0.00417994692295079,-1.74443231474442
P1_gp057,0.410961160700701,0.313474572143917,1.41713593575587,0.169491972295045,0.252064984438784,-6.36281404655706
P1_gp058,-0.383310784533085,0.0853671011182789,-4.39615240662405,0.000198785124356963,0.00120099345965665,-0.0892860634630486
P1_gp059,-0.412291532129883,-0.0714122724082753,-7.35097808563343,1.50030194378125e-07,5.43859454620704e-06,7.16860608345284
P1_gp060,-0.254243945633744,0.094216667652616,-2.77473911910989,0.0106165757811226,0.0258723275338283,-3.97089207859453
P1_gp061,-0.151654802019247,0.168513263663042,-1.80163269942239,0.0843756903211726,0.139822572532229,-5.84592260182653
P1_gp062,-0.21086579910296,0.250467211713076,-2.82193999574649,0.00951847636114873,0.0237961909028718,-3.82196649804639
P1_gp063,-0.356094715072569,0.100996026671025,-3.21932323233604,0.00371251571296596,0.0109860158853074,-2.96927309110186
P1_gp064,-0.55204230072147,0.372489941965593,-6.20029431406078,2.23226525838366e-06,3.59642736072923e-05,4.41456654262003
P1_gp065,0.615203422048648,-0.147765084801412,0.581055160479331,0.566703918926453,0.644486809759495,-7.25624728455211
P1_gp066,-0.265723588207735,-0.193483423734834,-3.23230508524564,0.00359794696270943,0.0109076061230254,-2.82598456988906
P1_gp067,-0.488878670037941,0.155482888858503,-6.36127596981422,1.51543251695703e-06,2.74672143698462e-05,4.81325582029547
P1_gp068,-0.0929103742543304,0.0462605639856955,-1.21436652490219,0.236602903155864,0.325188824242656,-6.61553314720624
