genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.132519851233621,0.318343758129378,-1.98437736847202,0.0584501928766933,0.428147662821778,-4.68556278680272
P1_gp002,0.0808441873459328,-Inf,0.998232915206069,0.329717660296353,0.789743526844441,-5.96816768981336
P1_gp003,0.0334606515998929,-0.0186597954977851,0.90405544714951,0.374715011514304,0.829609247122265,-6.12768345596512
P1_gp004,-0.0944504475850878,0.132826769224838,-2.22431322750846,0.0355231040859178,0.335750628941094,-4.25726794152047
P1_gp005,0.0211121920025602,-0.00684664004035937,0.341239185534016,0.735814540600538,0.97831820579022,-6.49263048981826
P1_gp006,0.0178980877598513,0.0763794279721303,0.426947604062032,0.673122689729162,0.966788961228649,-6.4455195245439
P1_gp007,0.0231419999583987,-Inf,0.437791032064677,0.666081484899273,0.966788961228649,-6.33999563781012
P1_gp008,0.0422496033528368,-Inf,1.07814944287672,0.310094227411324,0.77405100929284,-5.38735388256537
P1_gp009,-0.102292624495052,0.189248507839747,-2.417154980444,0.0233802150590134,0.257677350832565,-3.86931260166548
P1_gp010,-0.0584816422973055,0.0232014189767553,-1.40070163961683,0.173763710033709,0.644465405568061,-5.57342789962099
P1_gp011,0.117770017889268,-0.457430783877167,3.24244504548338,0.00338711104079736,0.0868125702102128,-2.09906858570964
P1_gp012,0.0719426696049487,0.02672053779478,1.40177404475662,0.173446736836114,0.644465405568061,-5.58928057023143
P1_gp013,0.0274898771618625,-0.0535743330008663,0.605671252757647,0.550268430068668,0.916788990112954,-6.35946302290305
P1_gp014,0.011552571462169,-0.176702972006642,0.395155870997433,0.696125913983789,0.973618700309414,-6.45648649981958
P1_gp015,-0.0236539852300491,0.0418112939092576,-0.551222603041067,0.586442219061857,0.937514993523156,-6.37232190580283
P1_gp016,0.000833007386472795,-Inf,0.00666941374483584,0.994749420203216,0.99818645724878,-6.38805614237221
P1_gp017,0.0605119970593647,-Inf,1.49287361981406,0.150588102903456,0.621441044376235,-5.35024043966093
P1_gp018,0.00394961626210884,-0.0386904399480449,0.099746380296944,0.921352291627351,0.991598358033267,-6.54106769978668
P1_gp019,0.0823435295894944,-0.00898008753366428,2.82354170452776,0.00925831398390034,0.159569764546047,-3.03454749148693
P1_gp020,0.0479981722433056,-0.439472675075674,0.519989767519744,0.607708447671211,0.937514993523156,-6.37656248006087
P1_gp021,0.020213483445667,-0.0484047832692549,0.528616503033252,0.601798094196605,0.937514993523156,-6.42204261060035
P1_gp022,-0.421996327570003,-Inf,-1.0128545702563,0.333575884890811,0.789743526844441,-5.63289882191776
P1_gp023,-0.0519557480906101,-0.0684297659116276,-0.836215917616516,0.41106478112547,0.836402644928908,-6.21365808180453
P1_gp024,-0.114171505665346,-Inf,-3.33379066902058,0.00402266532167976,0.0872956848729741,-1.99261414415002
P1_gp025,0.0135810677396503,0.00575577410485289,0.4289100160622,0.671713065812132,0.966788961228649,-6.44460600353977
P1_gp026,0.0229400684218585,-0.0147671016725909,0.513124190029899,0.612431757003313,0.93948955393702,-6.4284652976226
P1_gp027,0.0658577960619302,-0.0534833483173492,1.90724092270853,0.0682047317396958,0.477587834537264,-4.81312641364993
P1_gp028,0.127419991607451,-2.09395420277254,0.328935208401618,0.744982388092708,0.97831820579022,-6.5125553774401
P1_gp029,0.0755508969447719,-Inf,1.32830889676763,0.201990960320041,0.688178504346187,-5.50768328974674
P1_gp030,0.0608945994186537,-0.0285226619023813,2.03151191854559,0.0531141890083355,0.420606956201143,-4.59066569970466
P1_gp031,0.0683571142555985,-0.132014015882298,1.66311437734549,0.108951210957266,0.523323029679985,-5.21572043265505
P1_gp032,-0.0397333924527502,-0.130055834715509,-0.88246310534784,0.386049460219758,0.829609247122265,-6.13640605369495
P1_gp033,0.0819887445213568,0.0964299374407278,2.43136083671863,0.0226574872347056,0.257677350832565,-3.86797601328822
P1_gp034,0.0504403826521685,-0.0535839494771574,1.01463111066684,0.32013563294557,0.781664503775435,-6.03583480304177
P1_gp035,0.069312024749001,-0.11085352458327,1.43026382559679,0.165192828782258,0.644465405568061,-5.55090015519569
P1_gp036,0.0512123969103338,-0.0327306137696277,1.46471352188954,0.155634847902102,0.633347367157165,-5.48607890321688
P1_gp038,0.0211446049044595,-0.0328126775225956,0.607217641186562,0.549258317941978,0.916788990112954,-6.36204972674063
P1_gp039,0.024557813875144,-0.0408245293100372,0.562511803540279,0.578846522840665,0.937514993523156,-6.38842089850742
P1_gp040,0.0555415269994508,-0.000296137599487526,1.70531858107733,0.100704606574272,0.500109317394265,-5.11905337900585
P1_gp041,0.0610559567198195,0.116320210755144,1.85773004636035,0.0751898741493343,0.477587834537264,-4.9096431047572
P1_gp042,0.0155472117798298,-0.0321724929042871,0.378875830135766,0.708023194246477,0.97831820579022,-6.46456300760866
P1_gp043,0.0334225329868572,-0.118764674223067,0.827403008996087,0.41594535211601,0.840496470137868,-6.19589219619162
P1_gp045,-0.199966876915009,-Inf,-0.360194721705471,0.724211533486103,0.97831820579022,-6.12184341171423
P1_gp046,-0.000156465759721128,-0.0337137426318401,-0.0066094136767493,0.994779677531208,0.99818645724878,-6.53321867849227
P1_gp047,-0.00408838145154918,-0.0314566646348378,-0.100549101414211,0.920721571634171,0.991598358033267,-6.54296426017096
P1_gp048,-0.0131715595884716,-0.0447066515866761,-0.427886729829699,0.672447951951219,0.966788961228649,-6.43302695389018
