genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.554392794739375,1.40127108905645,-1.97441006320511,0.0599735904287763,0.439306549890787,-4.73498640836058
P1_gp002,0.227747413565877,0.250313580345763,0.677865560982465,0.504353204490217,0.939504450814538,-6.2843866958921
P1_gp003,0.0220163440031886,0.165218099618994,0.195530910855321,0.84662664025543,0.972504770630628,-6.55470453901168
P1_gp004,-0.381903441614038,0.659390736000698,-4.68730879853434,9.23909599340808e-05,0.00676763781517142,1.34054482523817
P1_gp005,-0.0118495808828895,0.19788518864617,-0.0695988512374324,0.945090771967939,0.990478046843736,-6.57120015835193
P1_gp006,-0.0283479238701232,0.46787162140641,-0.26524695365262,0.793088751178038,0.972504770630628,-6.52257940110451
P1_gp007,0.0135406144874428,-0.111640468970648,0.0691924264600341,0.945410881993498,0.990478046843736,-6.4850206862107
P1_gp008,-0.0472918277393539,-2.30404460018238,-0.034964149400714,0.972398087435025,0.990478046843736,-6.58784425592211
P1_gp009,-0.332791390870585,0.884885951989411,-2.06503326946708,0.0499063582268732,0.406182304457607,-4.55875310804953
P1_gp010,-0.224923061118127,0.324648716024909,-2.10395563635999,0.046065606842373,0.397475431643468,-4.48410161832002
P1_gp011,0.239855317868108,-1.01215921844455,2.12779085429042,0.0438463329099312,0.397475431643468,-4.45743806914902
P1_gp012,0.192027335383793,0.308327678404285,1.50939466621912,0.144277810108152,0.612657947270847,-5.44185034953402
P1_gp013,0.0642021805402496,0.0584156005166179,0.56936692857966,0.574408532427233,0.967251149432065,-6.40039737214384
P1_gp014,0.0278900567586983,-0.299689413484634,0.279358009383839,0.782368203746156,0.972504770630628,-6.53133674118613
P1_gp015,-0.104821271068766,0.340964167952382,-0.713322874399733,0.482538935045904,0.939504450814538,-6.31000942207823
P1_gp016,-0.0196326778138722,-1.27210115352078,-0.0184226886854932,0.985454260596813,0.990478046843736,-6.58829568620385
P1_gp017,0.211562751312506,-0.164912698774082,1.21058854499374,0.237864127478606,0.780186142453504,-5.76912334185163
P1_gp018,-0.0291825776947749,0.11115209781563,-0.345669686392853,0.732608623964052,0.972504770630628,-6.48306239687667
P1_gp019,0.203970613692411,0.186303314565796,2.01915702671622,0.0547977889713087,0.431413252935068,-4.66674991482522
P1_gp020,0.151614351712099,-0.673293060098761,0.616947310333288,0.543090120296222,0.939504450814538,-6.36529454457867
P1_gp021,0.032888121281437,0.0754863784233056,0.339529333174079,0.737170193696694,0.972504770630628,-6.52051047871665
P1_gp022,-0.296530501213908,-3.19036607577828,-0.362827452968086,0.719916025618727,0.972504770630628,-6.51992627824036
P1_gp023,-0.160571280520616,0.015683287723036,-0.960226293348181,0.34653519345902,0.877887266815566,-6.12577543022987
P1_gp024,-0.230002921996054,-1.17553103914978,-0.268103502575761,0.790915117101065,0.972504770630628,-6.55177991442914
P1_gp025,0.0180534857715315,0.253354493920312,0.200698397218772,0.842628888994625,0.972504770630628,-6.53339895132493
P1_gp026,0.0819872880297563,0.174174475107874,1.08764225953507,0.287577144658629,0.780186142453504,-5.97781541537461
P1_gp027,0.168426701811165,0.0613894434924054,2.28068276100801,0.031757838321472,0.336677131028574,-4.16966417798734
P1_gp028,0.00703067510711808,-3.04137840546093,0.0180781754698758,0.985726241817331,0.990478046843736,-6.58830211456005
P1_gp029,0.126447332132367,-1.35095382437676,0.119627685418666,0.905775845477005,0.990478046843736,-6.58115563468924
