genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.109828674974545,0.34959071652583,-2.59665348527198,0.0158194549667829,0.0846955683656448,-4.55982766691232
P1_gp002,0.121945973353131,0.253485627305536,3.5024013583164,0.00183029732706067,0.0151807956811056,-2.49285298359761
P1_gp003,-0.0719119205758793,-0.108009828307439,-1.53923610719494,0.136820782648617,0.387880277023264,-6.4844136304353
P1_gp004,0.0267319267790302,0.114602207324609,0.919077629787239,0.367195009356649,0.686430473900351,-7.21334791016186
P1_gp005,0.0269457153055005,0.0398241226479407,0.664330798121683,0.512807603957128,0.794743615094178,-7.41847519099177
P1_gp006,-0.0143405143722609,0.0276070576510333,-0.386522404481143,0.702513507465068,0.90798074562907,-7.58831801586332
P1_gp007,0.00207754016855749,-Inf,0.0603046464727199,0.952457121679336,0.972438739616665,-7.57839127569969
P1_gp008,0.0417910370407599,-Inf,0.542276730125741,0.59427334559823,0.850626553503348,-7.36236644481779
P1_gp009,-0.00961644665868777,0.173236993319425,-0.192052785833819,0.849315628316901,0.953803994101618,-7.6385774106813
P1_gp010,0.0283936159787612,0.00942030576457035,0.865872896733805,0.39512843205968,0.690918835316162,-7.28303907706002
P1_gp011,0.184509649030528,-0.545428333160736,4.43084129599998,0.000176390439619676,0.00257530041844726,-0.209938867976486
P1_gp012,0.0200588089779981,0.051279610989385,0.66179098925679,0.514405970043835,0.794743615094178,-7.42192137800224
P1_gp013,0.0580865143557324,-0.033544000965721,2.30174632653567,0.0303298370548334,0.137352268310091,-5.17156577383165
P1_gp014,-0.0221502169134497,-0.160105998481943,-0.778195005238852,0.444054364070162,0.740936424619927,-7.36677636811632
P1_gp015,-0.00903781776639083,0.00216946128388254,-0.195705278197607,0.84648740548037,0.953803994101618,-7.66082016549655
P1_gp016,-0.0640196479686774,-Inf,-1.2110394200372,0.241529064679618,0.534291567321579,-6.72167876039608
P1_gp017,-2.06902664367585,-0.929803277867364,-27.0619741517603,1.67412196161077e-19,4.88843612790345e-17,34.6900160841264
