genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.523800251579125,1.42537804800052,-2.70816194413662,0.0123660349285512,0.0811837113782197,-4.13849798508908
P1_gp002,0.260147669345876,1.028278338579,2.32331915076907,0.0290936932641547,0.156052859353135,-4.92582724902053
P1_gp003,-0.187911706174435,-0.0423463774847086,-1.40888775250177,0.171880839321005,0.477992429349841,-6.48062739738131
P1_gp004,0.0288326507574017,0.583681706741216,0.260584866853275,0.79666813048356,0.979986313025932,-7.44912882878057
P1_gp005,0.0511371887840562,0.36774182543133,0.332544307796757,0.742407855578659,0.979986313025932,-7.43026335341417
P1_gp006,-0.0484715674071843,0.340763260208421,-0.532733529857881,0.599188379159848,0.899925058295642,-7.32437737717336
P1_gp007,0.00682187119354977,0.174598070197244,0.0559390262631062,0.955860277669813,0.997559760886572,-7.42638819481112
P1_gp008,0.0731100085685213,-0.203455327043276,0.250503984261787,0.804360992265565,0.979986313025932,-7.3349940700488
P1_gp009,-0.136560932667147,0.797090100587882,-0.805400067406281,0.428612330286572,0.759672239128272,-7.15424095022957
P1_gp010,0.0597805094663402,0.278143446448782,0.804243421539071,0.429266847452619,0.759672239128272,-7.13597262136047
P1_gp011,0.424737819278291,-1.03036307211067,3.42679432794083,0.00223976894128992,0.0262437530834476,-2.525167629601
P1_gp012,0.0452479559248873,0.393429197795409,0.735246310030262,0.469418364175316,0.796919548483676,-7.134504962727
P1_gp013,0.150506443552871,0.156640482503565,2.53937765487594,0.0181103800885755,0.112515552890724,-4.50200757448496
P1_gp014,-0.0180145300919413,-0.174210283055452,-0.242129017888548,0.810767455836097,0.979986313025932,-7.45210182800325
P1_gp015,-0.024494570918919,0.257173242372383,-0.231045937113072,0.819266215914766,0.979986313025932,-7.46476902114913
P1_gp016,-0.0929435912496333,-0.874020246591451,-0.123137486292139,0.903038687205719,0.993852636702812,-7.48618447452956
P1_gp017,-3.22312535127606,-0.988449015635547,-18.7098961352094,1.11826831511219e-15,1.6326717400638e-13,25.9827921996992
P1_gp018,0.0808711813495919,0.205474952597105,1.5198948658039,0.141794489046816,0.418876108221601,-6.32959268096996
P1_gp019,0.140484527018587,0.179130594327252,1.39783060856452,0.175138072670766,0.479231235609345,-6.51324313475874
P1_gp020,0.0491875613963519,-0.680491078102082,0.161492598173256,0.873077096306366,0.993852636702812,-7.43854601519217
P1_gp021,0.0827748324614259,0.295336448054294,1.24483203502115,0.225387773662454,0.552201725680268,-6.70918011831302
P1_gp022,0.378063014827342,-2.89776985936091,0.44883811818106,0.657634084886166,0.955368919337116,-7.39289753098011
P1_gp023,0.000285342740303896,0.203987632423465,0.00312964601250613,0.997529156793138,0.999174672677469,-7.48438374347443
P1_gp024,-0.0353389414856647,-0.160519457127992,-0.231277974505031,0.819088048507914,0.979986313025932,-7.43096298712231
P1_gp025,0.231603237649858,0.544537308478773,2.18226625904077,0.0392626256087942,0.187945683242097,-5.23059111058442
P1_gp026,0.094879669467055,0.155138632789365,1.26745436254861,0.217330663225852,0.537801302219904,-6.67074210766091
P1_gp027,0.0881998531064095,0.16123252942653,1.10735878164159,0.279274565689324,0.613144159257764,-6.85752349457707
P1_gp028,0.111534718690378,-2.41443403328499,0.237639170894493,0.814207577243397,0.979986313025932,-7.44640758019895
P1_gp029,0.27006623673679,-0.986375332390048,0.287123876976926,0.776518069625615,0.979986313025932,-7.45238999742087
P1_gp030,0.0726634216746496,0.150674926526306,0.868033404118858,0.394098924201875,0.73345610614841,-7.10082339821796
P1_gp031,-1.02379283080727,-0.634936335353438,-18.2817490586017,1.86869914516957e-15,1.81886716796505e-13,25.468828180476
P1_gp032,0.296907926704822,-0.230177630030009,2.24144733460118,0.0346569557104958,0.174479845990772,-5.03498346969831
