genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.107019762183666,0.28809248045875,-2.98247235143832,0.00630379864240889,0.0681744149475332,-3.29567265832043
P1_gp002,0.117754571920365,0.273649952347381,1.93664783370372,0.0641865263550126,0.275624495524466,-5.43232490428053
P1_gp003,0.0084851416293848,-0.0270586294507596,0.15310339760916,0.879547650383803,0.974267207843874,-7.23046433597928
P1_gp004,-0.0264752595035024,0.153886283471524,-0.904487356099855,0.374384018652685,0.664439051234089,-6.80567527264921
P1_gp005,0.0141320390083836,0.00841208658496449,0.407678371383179,0.686985173456,0.876137192363312,-7.14163086341237
P1_gp006,0.0823106326546776,0.0610799784671298,2.03779198706953,0.0523010834981099,0.238623693460126,-5.25246178826816
P1_gp007,0.0449547390921069,0.070313161655757,1.20416169307445,0.239821266472955,0.534563433664907,-6.50016786390789
P1_gp008,-0.0158174552717088,0.142284836218247,-0.399244185393163,0.693108532314812,0.876137192363312,-7.13368122007129
P1_gp009,-0.0614275430214038,0.174413535464903,-2.41546339463439,0.0233665871615148,0.170576086279058,-4.49069966601217
P1_gp010,0.0034388146920931,0.0656391681070641,0.118213661925862,0.906844481716602,0.982811691641284,-7.17702497029799
P1_gp011,-0.0530126589107124,-0.385399779220609,-1.45846161680163,0.157181928290107,0.447854876247961,-6.17665357347625
P1_gp012,-0.0836199414449169,0.0549223359564371,-1.53577943475007,0.137171696425095,0.420224325113649,-6.07672367232249
P1_gp013,-0.0187144272708666,-0.0393824244114149,-0.542229608836212,0.592468478440393,0.839816989900768,-7.08986322197371
P1_gp014,-0.00262188533787613,-0.1854668181822,-0.0866823076475081,0.931615621907821,0.984698718483849,-7.238700081309
P1_gp015,0.0172238003603659,-0.0283801240791603,0.650693617182879,0.521189156629669,0.792206214839068,-6.98725716477263
P1_gp016,0.0422404841958775,0.0079796843540156,1.04565002137653,0.305743005308982,0.611336260771245,-6.68618015815137
