genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,-0.524837743884151,1.40778998813925,-2.45962783104801,0.0213871588608427,0.141843677740041,-4.51217740757533
P1_gp002,0.550843684144032,1.34244117279772,1.86613555098646,0.0741244777679291,0.285769368236885,-5.63219025561341
P1_gp003,0.0507653590189659,0.0605150781998223,0.284023956596425,0.778795550547162,0.918975920854727,-7.27688021716092
P1_gp004,-0.134794371165785,0.784861352343855,-1.19450595948091,0.243797407209162,0.5307853018805,-6.58583182367405
P1_gp005,0.0614336678158373,0.1904280018805,0.494059820031216,0.625695783351177,0.826843713570848,-7.18757125064392
P1_gp006,0.351215212720672,0.41250673951903,1.80801092128669,0.082985704996314,0.296522092242927,-5.72933393461865
P1_gp007,0.201645600308903,0.438702832718204,2.33512980653689,0.0281048405240991,0.161465064187471,-4.72139339986549
P1_gp008,-0.0113039467629088,0.740063371041344,-0.0778746755372444,0.938564759823461,0.986767817722138,-7.28972621080843
P1_gp009,-0.212323312834129,0.890907735867086,-1.25605435996475,0.221026054590003,0.493145050387266,-6.50302700175635
P1_gp010,0.0491855583993162,0.423299367738892,0.299840622898237,0.766845893120984,0.917348450102533,-7.25706568908171
P1_gp011,-0.117200209103219,-1.14636743163944,-1.52207159613023,0.14088531629624,0.387086619573293,-6.1412927538377
P1_gp012,-0.313552862566823,0.38420429768823,-1.87128272232155,0.0733808640723045,0.285769368236885,-5.62101161786637
P1_gp013,-0.0524965781515637,0.00694683057271227,-0.58583731628784,0.563381222233222,0.793609125549682,-7.12956074083104
P1_gp014,0.0213778378375806,-0.517253652008863,0.209539031166268,0.835772397014747,0.929565902990616,-7.29588600512787
P1_gp015,0.100363286696237,0.0477414364757418,1.01003508331701,0.322420091755365,0.594145200530327,-6.79572599999819
P1_gp016,0.190606237014875,0.192212903318875,1.45103151798877,0.159545315633233,0.41368829628794,-6.26773314400794
P1_gp017,-0.164564841483296,0.807374808535862,-0.703623763083227,0.488347840301616,0.749140927792531,-7.0511350220091
P1_gp018,-0.129169778348812,0.0639564669696956,-1.28455781968718,0.211045247654202,0.490763948910168,-6.4334198186457
P1_gp019,-0.168131312266881,0.106514676534404,-1.74862930397413,0.0929653513491994,0.313320385947892,-5.78341579815855
P1_gp020,-0.253658223275765,-1.05544786122805,-0.68777466035967,0.49810078594561,0.754524390651082,-7.01565185594098
P1_gp021,-0.0652529763245191,0.0613855195073665,-0.823370804830113,0.418296376775526,0.66609151301755,-6.95689412810666
P1_gp022,-0.0122728528509937,-4.26781768182768,-0.0178634454662894,0.985893500059549,0.99872307662325,-7.31600895847917
P1_gp023,0.0148696012996123,0.129200533027775,0.262505736515288,0.795141892086754,0.927368071476435,-7.24768354817365
P1_gp024,0.362460515883156,0.0713204418026888,5.15287757009631,2.71534371897745e-05,0.00159119141932079,1.99542072330872
P1_gp025,0.0326902469227039,0.568342335152187,0.225895994771554,0.823169501376603,0.9288341626299,-7.24943796386601
P1_gp026,-0.0688377704301514,0.12834838641771,-0.521362364159917,0.60682878809933,0.826843713570848,-7.1709624351298
P1_gp027,-0.129205520065759,-0.035564649588223,-1.26127182128706,0.219172677760707,0.493145050387266,-6.49515423088773
P1_gp028,0.0931482236335768,-3.57841406009616,0.24362140624247,0.809566846729761,0.9288341626299,-7.25215020929184
P1_gp029,0.113838560594534,-1.41407188561311,0.0919946475022418,0.927455693272135,0.984581587422955,-7.31423696425951
P1_gp030,0.109447742688268,0.143106485207928,1.37053923374821,0.183033839337543,0.441145406026868,-6.35319560142117
P1_gp031,0.395763075070419,-0.242532621619328,4.95843885290151,4.45755498488268e-05,0.00186580515795803,1.4766461602541
P1_gp032,0.178569372430208,0.20248595721911,1.94199756758176,0.0638031984781939,0.276762761716689,-5.50196477070976
P1_gp033,0.0928535245981307,0.643999001822414,0.538430862280711,0.595172670994954,0.81871170235456,-7.14619846924472
P1_gp034,-0.0283061620923952,-0.014255048795571,-0.289436252237805,0.774700078357283,0.918975920854727,-7.24490446840493
P1_gp035,0.073434037119228,-0.0756623314122777,0.662517227904041,0.51386838675859,0.754524390651082,-7.06989079447973
P1_gp036,-0.0672697224879491,0.181917926582165,-0.675748583592782,0.50557409956256,0.754524390651082,-7.08154071508829
P1_gp038,-0.117451420266624,0.206977794415914,-1.39806954108374,0.174710551457762,0.437523004932686,-6.33118354309061
P1_gp039,0.1401621519794,0.0468223016996379,1.86631788263086,0.0740980248850948,0.285769368236885,-5.62188012881268
P1_gp040,0.186335087107286,0.304232651295402,2.0583639409006,0.0504193121309903,0.242178007448855,-5.28915372014174
P1_gp041,0.126748575935593,0.774732220891685,1.00520402706686,0.32469335092479,0.594594698881021,-6.78575094623561
P1_gp042,0.138706315402355,0.173192583900934,1.69066257064088,0.103676650452961,0.333816028381512,-5.87739951886373
P1_gp043,-0.102594800366276,-0.167411076506857,-0.957377439597635,0.347795577576237,0.613880145962876,-6.84131872129836
P1_gp046,0.0260769114966845,0.28155232463841,0.552174605313553,0.585866647508616,0.816103110672093,-7.05123255280974
P1_gp047,0.158905694321122,0.144974747243076,1.73963716427988,0.0945625099551046,0.314850175191428,-5.82976268387401
P1_gp048,0.151314016098717,0.195286906652533,1.89878246805762,0.0695168649090793,0.285769368236885,-5.57220395380943
P1_gp050,0.277288964926948,-5.02271094083757,3.37618934987903,0.00246770090729018,0.0289214546334409,-2.43194390427325
P1_gp051,-0.236267450218909,-0.0484675408659467,-3.55701404217305,0.00157605081140547,0.0243043625127264,-2.00703436128039
P1_gp052,-0.172787809786989,-0.759285920200342,-0.379075721510058,0.707920326881855,0.871515360404973,-7.24436230700154
P1_gp053,-0.0984079736559678,0.280219966134616,-0.846528509743462,0.405508980705789,0.659657933600924,-6.93588184263319
