genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.346492266445599,0.416017216887351,6.13471586778677,2.00598177133211e-06,2.09195241867491e-05,4.21469811419984
P1_gp002,1.2561094710754,0.789426966453951,24.7618033858184,3.51242968044567e-19,1.02562946669014e-16,33.9526720757901
P1_gp003,0.138838221050116,-0.0111375230498716,2.28730365161407,0.0308579527939584,0.0600701481055724,-5.22627224439634
P1_gp004,0.0986522920382915,0.14708981544636,2.82198649665391,0.00919116815440783,0.0218196837486755,-4.04190909157142
P1_gp005,0.00492941226628256,0.000830268247520263,0.0761310889801656,0.939917270142027,0.966393812962929,-7.68192626263122
P1_gp006,0.0257789644489657,0.103643015233727,0.484719046207995,0.632071182750007,0.701767244726244,-7.56779946465571
P1_gp007,0.162048226966939,0.169088780753351,2.52586325136659,0.0182073854067418,0.0377060747430397,-4.74827781522376
P1_gp008,0.154665237161255,-Inf,1.60514480402035,0.123293122475437,0.19252188108464,-6.34399249458172
P1_gp009,0.364600602241397,0.305455705936027,6.48439458378048,8.37735896857047e-07,1.16485181848694e-05,5.10594687415683
P1_gp010,0.0276463253378334,0.0148130980457075,0.807047565324544,0.427206824059293,0.528577934853024,-7.32372788200596
P1_gp011,0.174938760994563,-0.515063939414287,5.09973730138925,2.83333406152249e-05,0.000192403150224318,1.63313925010193
P1_gp012,-0.034486958974275,0.0143039902874103,-0.956410646652382,0.347969775198622,0.449589267070786,-7.19156171684726
P1_gp013,-0.0867785986410203,-0.101336260635374,-3.14339814489923,0.00424846827572846,0.0126055587440408,-3.33938147888585
P1_gp014,-0.00207352003156649,-0.190731381226184,-0.050630405326369,0.960020060320544,0.97335367226944,-7.70826740031267
P1_gp015,-0.0426102497592947,-0.00135039521441595,-0.765964674852161,0.450827786221656,0.548507139903015,-7.37059447729665
P1_gp016,0.0217485418969397,0.109135157435643,0.520133090791603,0.607520035494072,0.682291732170266,-7.52357142230375
P1_gp017,0.481528547516749,0.336151707781105,10.3237535232229,1.57394817043837e-10,1.14898216442001e-08,13.8552290262001
P1_gp018,-0.00571887483844995,-0.037303506031716,-0.124615199510673,0.901819014777194,0.930498771430886,-7.67730766230918
P1_gp019,0.00224855669942884,-0.0240367270302849,0.0583979346945141,0.953893249793227,0.97051159909276,-7.68092929914745
P1_gp020,-0.0273068081571094,-0.435805689839284,-0.300293516925275,0.766421806491985,0.816770684290729,-7.59705206164691
P1_gp021,-0.0533329449786925,-0.0677848581918297,-1.25283578695075,0.22179088497959,0.309870518727466,-6.88776128279305
P1_gp022,0.220878939705322,-Inf,1.71359497746461,0.120210199620036,0.189737179940814,-5.76122551591037
P1_gp023,-0.164503737049423,-0.0752544989676241,-6.33495988386884,1.2147188145535e-06,1.61226315386192e-05,4.76569507206915
P1_gp024,-0.11770300799778,-0.0333837130663337,-2.33802866465046,0.0276360151255883,0.0545251109234579,-5.08938628416888
P1_gp025,0.22560287846964,0.178898790744993,4.98171614158137,3.84792961220329e-05,0.000244259879731165,1.27048717445273
P1_gp026,-0.079016794367673,-0.0804973632419146,-2.05366236455199,0.050545409867907,0.089995485862371,-5.6268970275423
P1_gp027,-0.0785391008140742,-0.0970783883043734,-1.67844291627737,0.105646914891627,0.170435906896989,-6.2668276698404
P1_gp028,0.705543812179906,-Inf,2.13900410253507,0.0427496073103386,0.0790069018152315,-5.49839228572356
P1_gp029,-0.00349493706692073,-Inf,-0.0638316347087164,0.949842530921735,0.969769297304709,-7.48522424565051
P1_gp030,-0.0200685371734791,0.0310241222340354,-0.443918389255759,0.660898071571438,0.717406085125873,-7.5924170353997
P1_gp031,0.680141767651483,0.213930534039027,23.2227060278089,1.65247367846222e-18,2.41261157055484e-16,32.4129270125931
P1_gp032,-0.142568861573198,-0.0381336652370819,-4.00253554714055,0.000487938054574986,0.00212653599904322,-1.22411214956754
P1_gp033,0.180655135717856,0.141391273341703,4.01497125692416,0.000472561633620856,0.0020907272275347,-1.19042011933197
P1_gp034,-0.141898327666909,-0.145720214627052,-4.92871177580465,4.41559873937087e-05,0.000274330815297084,1.12750583456892
P1_gp035,-0.213157065418589,-0.183714375990595,-4.34442242353674,0.000201571763905761,0.00108998064926819,-0.393296636215595
P1_gp036,-0.113598505080813,-0.00657513134252234,-4.39376100377182,0.000177343952322825,0.000977064793929526,-0.186710683648841
P1_gp038,-0.155657142941393,-0.00605606134695932,-4.2961893593549,0.000228433326136418,0.00121277329512426,-0.529861040463418
P1_gp039,-0.25478776408019,-0.0870713433107868,-7.63916457871348,5.18779058234567e-08,1.26236237503745e-06,7.99286249628135
P1_gp040,-0.105008713594528,0.00249876977224528,-3.11264790702376,0.00457926589116333,0.0130527093964892,-3.38402660219558
P1_gp041,0.0729508937876082,0.0922940533299357,1.17993146102531,0.249069578818822,0.341447497723455,-6.9633065094648
