genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.627445851695764,1.42999678070147,2.78266120457314,0.010281722974327,0.0236128400398335,-4.11391840453225
P1_gp002,5.11567738906546,3.31946423176214,21.8839007463872,1.78841097259323e-17,3.18256926480749e-15,30.0723058153962
P1_gp003,0.224700078772038,-0.0256109029613082,1.55170683156031,0.133693548911139,0.197164223646731,-6.41047211737446
P1_gp004,-0.106466118331723,0.504079734663726,-0.874484782518498,0.39043760234139,0.475032416182024,-7.175202723888
P1_gp005,-0.111914136712465,0.0529205865114014,-0.638936164803005,0.528857029296595,0.607977372262227,-7.38012626076583
P1_gp006,-0.206313683415814,0.371401875009749,-1.12334104482106,0.272296903865244,0.347208279164416,-6.97127872743317
P1_gp007,0.220012395142631,0.544186823294036,1.4688525968977,0.154733456020024,0.222572261861315,-6.52868810411307
P1_gp008,-0.0255217424929988,0.531078110531077,-0.0730737662901546,0.942347136241418,0.955435290911437,-7.53299587850691
P1_gp009,0.759350491625109,0.997495781523791,2.45020852328755,0.02186799569411,0.0449679911456346,-4.83761499320283
P1_gp010,-0.10759121009648,0.0873081485999505,-1.13792309049201,0.266276751582693,0.344572019136055,-6.92087605206577
P1_gp011,0.772002225866676,-1.34426474020269,7.7648709196906,4.98274688556823e-08,1.45496209058592e-06,8.08733650534134
P1_gp012,-0.377991289408422,0.105391353890791,-4.29060233655807,0.000247760103950694,0.00101895704723384,-0.486214525867016
P1_gp013,-0.325670138655055,-0.238007933885204,-5.95859076746371,3.62662753462259e-06,3.75752618142887e-05,3.78249710511789
P1_gp014,0.0731750279430133,-0.528306957280433,0.695616737790408,0.493285419044643,0.573861921757115,-7.36906906333933
P1_gp015,-0.299452826548999,0.0641650713345759,-2.50508503418419,0.0193570668427909,0.0403733108435353,-4.70358552727805
P1_gp016,-0.224798183864094,0.374023745230407,-1.50550572264094,0.145116460346211,0.209803631598005,-6.48526947927334
P1_gp017,1.24870881979118,1.11706545011545,5.31508333179247,1.81896017624473e-05,0.000123520086386852,2.11335952573235
P1_gp018,-0.152993121803069,-0.0685366097659432,-1.19103395837786,0.245174228366718,0.32541306674128,-6.9067831084993
P1_gp019,-0.159619284515592,-0.0464187172594714,-1.678440670189,0.106110476234875,0.162221251626092,-6.19849976537767
P1_gp020,0.139083252148644,-0.97722518087089,0.448336496488565,0.657892780107432,0.70970837535389,-7.47846911976072
P1_gp021,-0.253062975949231,-0.137694392879825,-2.30173625546887,0.0302441819281094,0.0581006652829469,-5.09866998997427
P1_gp022,1.48919802927911,-3.32101331675645,2.10640195718951,0.0457048736623211,0.0818762153950783,-5.49984391927626
