genes,log_fc,ave_expr,t,p_value,adj_p_val,b
P1_gp001,0.370270768571729,0.29512590302582,1.26303958082866,0.220570783760146,0.439956490623039,-6.16254984124569
P1_gp002,0.277906879604764,0.668678058453008,1.15971358742203,0.25932430788638,0.48600639519965,-6.1981117245355
P1_gp003,0.488593668918906,0.125734089677447,1.6107524964285,0.122327774997762,0.327838436994002,-5.70699272569648
P1_gp004,-0.112787315673254,0.316347453895783,-0.260144655788051,0.797313765197673,0.941882396411635,-6.9224769709681
P1_gp005,-0.335412297199966,0.637648196091945,-1.39962561792062,0.176384908144938,0.407509960196925,-5.97739062256199
P1_gp006,-0.131069039186663,0.203272781755826,-0.400788170048799,0.692669208220715,0.879788378213988,-6.8634315635583
P1_gp007,-0.363780811664662,0.554729605148541,-1.91693735916787,0.0691065037506017,0.260852718382553,-5.20468985623057
P1_gp008,-0.453664240208953,1.0052320485223,-2.18190023186691,0.040754793837689,0.182038079141677,-4.76356206836455
P1_gp009,-0.0851122550734679,0.516083473064427,-0.396240368921169,0.695969154081657,0.879810062707001,-6.91580907717748
P1_gp010,-0.337964652266461,0.713742835820532,-1.06183853893165,0.300500605068159,0.529830014199123,-6.42526329229627
P1_gp011,0.174434943279758,-1.27782873893304,0.630568790855391,0.535199954210617,0.754913619623397,-6.75112417673182
P1_gp012,0.0383057622076283,0.944144243426163,0.196534596326308,0.846102128842479,0.961253423019372,-6.97118507734301
P1_gp013,0.203493661426174,0.174013324732154,1.1676737280678,0.256168925310773,0.483993586900998,-6.29779138826161
P1_gp014,0.168472920542825,-0.0291349404782676,0.782412224615901,0.442802010922781,0.670457282075171,-6.67564971597934
P1_gp015,-0.059798852371517,0.393133742952802,-0.259520877976796,0.79778844770687,0.941882396411635,-6.96323081343626
P1_gp016,0.0193366581077403,0.071234777686401,0.0771026027109389,0.939279858847729,0.986492458602555,-6.97929071174988
P1_gp017,0.628376079603958,0.716682678533708,2.46891833391451,0.0223220112111892,0.132939977879971,-4.1982150864903
P1_gp018,-0.18021594403318,0.155753996280744,-1.14724974014678,0.264322844487899,0.491934182796922,-6.33407209431055
P1_gp019,-0.208647416264829,0.198429718067439,-1.35897059008184,0.1887315870703,0.427376021678082,-6.07932204981662
P1_gp020,0.160822507353346,-0.00557642656312112,1.68232005161826,0.107481739952823,0.309078572393523,-5.56074772868972
P1_gp021,0.263685204549003,0.0469663988704442,2.2013047856407,0.0391654798465218,0.182038079141677,-4.70942580558291
P1_gp022,0.533955922486084,-0.807744022654877,1.12961725875835,0.27151548193406,0.495751474586751,-6.28856342556761
P1_gp023,-0.381118798698762,0.80359569655519,-1.34342694951536,0.193629246230933,0.427376021678082,-6.09922249831904
P1_gp024,0.00342745309303812,-0.0557236117992363,0.0171192724205439,0.986504853775116,0.993271537200397,-6.99928439844536
P1_gp025,-0.00842434631502115,0.151159874678152,-0.0366624823555219,0.971104219619564,0.993271537200397,-6.99818201945799
P1_gp026,-0.208892200256554,0.0905254091745683,-1.30185554697074,0.207220336233946,0.439956490623039,-6.14683558986693
P1_gp028,0.0361488600760069,-1.69037327152162,0.0754185421852311,0.940603434264826,0.986492458602555,-6.95616849280092
P1_gp029,-0.510173602817703,0.0869246383098132,-1.28121659808376,0.214238570194837,0.439956490623039,-6.14272360858129
P1_gp030,-0.621251372494388,-0.483595855181421,-2.0757471116929,0.0505315693567279,0.211600946681298,-4.88591494238764
P1_gp031,0.00317922250448294,-0.342743492378992,0.0157156571068728,0.987611225937923,0.993271537200397,-6.99596542103719
P1_gp032,-0.238311190666178,-0.0691196681484561,-1.99345797651144,0.0595103293289576,0.241648003941828,-5.09660628207985
P1_gp033,0.236444298209583,-0.0316356576815891,2.24904403936867,0.0354930328538789,0.177739518357978,-4.62353176017446
P1_gp034,0.3210384017703,-0.46505767510941,1.73358661846745,0.0978130723875909,0.295560003937755,-5.4757582094833
P1_gp035,0.486752599208848,0.664759463132591,1.25788630885578,0.222391969658383,0.439956490623039,-6.19862531716877
P1_gp036,-0.370427086194727,0.806463001132914,-1.98462319522329,0.0605542727824846,0.242217091129939,-5.08046668055607
P1_gp038,-0.00894180309788531,0.164347255932829,-0.0782893223363158,0.938347272905271,0.986492458602555,-6.93200704876912
P1_gp039,-0.0188432771062491,0.171612059689606,-0.0874911739855536,0.93111916528709,0.986492458602555,-6.9954643801062
P1_gp040,0.0235499768736989,0.108286362329616,0.15358485729289,0.879419551938737,0.982018499664923,-6.97909613940588
P1_gp041,0.20155006151461,0.222951421288724,1.2648939057531,0.219918273971528,0.439956490623039,-6.18455199074059
P1_gp042,-0.532449799328258,0.363037229441805,-3.467044174584,0.00233290894595712,0.0250087839006603,-2.07739501966838
P1_gp043,-0.183452218247874,0.0792391990781984,-1.66480137549582,0.110966926611053,0.309078572393523,-5.62397370336395
P1_gp045,0.148503258508364,-1.92325420738977,0.107740719440772,0.915235386894762,0.986492458602555,-6.99565606015794
P1_gp046,0.112537351796389,-0.130556190791075,0.848462521347458,0.405853335243992,0.636074233013976,-6.56319108006304
P1_gp047,0.355166657411928,0.341200307723018,1.29003655220281,0.211217146703534,0.439956490623039,-6.16226108672291
P1_gp048,-0.941083692568709,-0.333593812859492,-2.5540225277485,0.0185765914800482,0.121427476015925,-3.9761444762463
P1_gp050,-0.446918091997001,-3.76523712897467,-0.471302686545677,0.642337539257314,0.848012120792907,-6.88287098256347
P1_gp051,-0.250213125650467,0.0942637654723036,-3.13817894082008,0.00501209886825873,0.0497497220997533,-2.78436259210387
P1_gp052,-0.2234670790816,-0.628418290214029,-1.21639463110603,0.237478277353872,0.461189698049548,-6.20771486174269
P1_gp053,0.374018852389646,-0.224119511309037,1.03341000043303,0.313295915761784,0.539605103687324,-6.38573054033054
P1_gp054,0.13672331126051,0.183545977624118,0.66592897790773,0.512785562588359,0.734901234083851,-6.75771305371473
P1_gp055,-0.295882098628277,0.359130486348254,-2.38210062423153,0.0268596568232764,0.141144863306629,-4.36631177801503
P1_gp056,-0.15135585906675,-0.00571550679591768,-1.30362074255641,0.206628490268395,0.439956490623039,-6.08441627496069
